,seats,difS,tdate,fareI,dd_dow
0,60,2,0,1,4
1,58,0,1,1,4
2,58,0,2,1,4
3,58,0,3,1,4
4,58,0,4,1,4
5,58,0,5,1,4
6,58,0,6,1,4
7,58,3,7,1,4
8,55,0,8,1,4
9,55,0,9,1,4
10,55,0,10,1,4
11,55,0,11,1,4
12,55,0,12,1,4
13,55,0,13,1,4
14,55,0,14,1,4
15,55,4,15,1,4
16,51,2,16,1,4
17,49,0,17,1,4
18,49,1,18,1,4
19,48,0,19,1,4
20,48,0,20,1,4
21,48,2,21,1,4
22,46,2,22,1,4
23,44,0,23,2,4
24,44,4,24,1,4
25,40,0,25,2,4
26,40,0,26,2,4
27,40,0,27,2,4
28,40,2,28,2,4
29,38,0,29,2,4
30,39,5,30,1,4
31,34,0,31,2,4
32,34,0,32,2,4
33,34,0,33,2,4
34,34,0,34,2,4
35,34,0,35,1,4
36,34,0,36,1,4
37,34,1,37,1,4
38,33,4,38,0,4
39,29,0,39,0,4
40,29,1,40,1,4
41,28,2,41,1,4
42,26,3,42,1,4
43,23,1,43,1,4
44,22,5,44,1,4
45,17,0,45,1,4
46,17,2,46,4,4
47,15,0,47,4,4
48,15,0,48,4,4
49,17,0,49,4,4
50,18,1,50,4,4
51,17,0,51,4,4
52,17,0,52,4,4
53,18,0,53,4,4
54,18,0,54,6,4
55,18,3,55,6,4
56,15,2,56,6,4
57,13,0,57,6,4
58,13,1,58,6,4
59,12,0,59,6,4
61,59,3,0,2,3
62,56,0,1,2,3
63,56,0,2,2,3
64,56,0,3,2,3
65,56,1,4,2,3
66,55,1,5,2,3
67,54,0,6,2,3
68,54,0,7,2,3
69,54,0,8,2,3
70,54,1,9,2,3
71,53,0,10,2,3
72,53,0,11,2,3
73,53,0,12,1,3
74,53,3,13,1,3
75,50,1,14,1,3
76,49,0,15,1,3
77,49,0,16,2,3
78,49,0,17,2,3
79,49,1,18,2,3
80,48,0,19,2,3
81,48,2,20,1,3
82,46,0,21,1,3
83,46,1,22,2,3
84,45,2,23,2,3
85,43,2,24,0,3
86,41,1,25,0,3
87,40,4,26,0,3
88,36,0,27,1,3
89,36,0,28,1,3
90,36,0,29,0,3
91,36,1,30,0,3
92,35,2,31,0,3
93,33,5,32,0,3
94,28,3,33,0,3
95,25,2,34,1,3
96,23,2,35,4,3
97,21,0,36,4,3
98,21,0,37,4,3
99,21,0,38,3,3
100,21,0,39,4,3
101,21,0,40,3,3
102,22,0,41,0,3
103,22,1,42,0,3
104,21,2,43,0,3
105,19,0,44,0,3
106,19,2,45,0,3
107,17,1,46,4,3
108,16,0,47,4,3
109,16,0,48,4,3
110,16,4,49,4,3
111,12,1,50,4,3
112,11,2,51,4,3
113,9,1,52,4,3
114,8,1,53,4,3
115,7,0,54,6,3
116,8,0,55,6,3
117,8,0,56,6,3
118,8,0,57,6,3
119,9,0,58,6,3
120,9,4,59,6,3
122,52,0,0,4,2
123,52,0,1,4,2
124,52,0,2,4,2
125,52,0,3,4,2
126,52,0,4,4,2
127,52,0,5,4,2
128,52,0,6,4,2
129,52,0,7,4,2
130,52,0,8,4,2
131,52,0,9,4,2
132,52,0,10,4,2
133,52,0,11,4,2
134,52,0,12,4,2
135,52,0,13,4,2
136,52,0,14,4,2
137,52,1,15,4,2
138,51,0,16,4,2
139,51,0,17,4,2
140,51,0,18,4,2
141,51,0,19,4,2
142,51,0,20,4,2
143,51,0,21,4,2
144,51,0,22,4,2
145,51,0,23,4,2
146,51,3,24,0,2
147,48,0,25,0,2
148,48,0,26,0,2
149,48,0,27,0,2
150,48,0,28,0,2
151,48,0,29,0,2
152,48,0,30,0,2
153,48,1,31,0,2
155,38,3,33,0,2
156,35,0,34,1,2
157,35,1,35,3,2
158,34,0,36,1,2
159,34,1,37,1,2
160,33,0,38,1,2
161,33,2,39,3,2
162,31,1,40,3,2
163,30,0,41,3,2
164,30,0,42,0,2
165,30,1,43,1,2
166,29,3,44,1,2
167,26,6,45,1,2
168,20,2,46,4,2
169,18,1,47,4,2
171,9,1,49,4,2
172,8,0,50,4,2
173,8,3,51,4,2
174,5,0,52,5,2
175,5,1,53,4,2
176,4,1,54,6,2
177,3,1,55,6,2
178,2,0,56,6,2
179,2,2,57,6,2
183,43,0,0,5,1
184,43,0,1,5,1
185,43,0,2,5,1
186,43,0,3,5,1
187,43,0,4,5,1
188,43,0,5,5,1
189,43,0,6,5,1
190,43,1,7,5,1
191,42,0,8,5,1
192,42,2,9,5,1
193,40,0,10,5,1
194,40,4,11,5,1
195,36,0,12,5,1
196,36,0,13,6,1
197,36,0,14,6,1
198,36,0,15,6,1
199,36,0,16,6,1
200,36,0,17,6,1
201,36,0,18,6,1
202,36,0,19,6,1
203,37,0,20,6,1
204,37,0,21,6,1
205,37,0,22,6,1
206,37,0,23,4,1
207,37,1,24,4,1
208,36,2,25,4,1
209,34,0,26,4,1
210,34,1,27,4,1
211,33,0,28,4,1
212,33,0,29,4,1
213,33,0,30,4,1
214,33,0,31,4,1
215,33,0,32,4,1
216,33,0,33,4,1
217,33,1,34,4,1
218,32,0,35,2,1
219,32,0,36,2,1
220,32,1,37,2,1
221,31,0,38,2,1
222,31,1,39,2,1
223,30,3,40,2,1
224,27,0,41,2,1
225,27,2,42,1,1
226,25,1,43,0,1
227,24,1,44,0,1
228,23,0,45,0,1
229,23,6,46,4,1
230,17,0,47,4,1
231,17,4,48,4,1
232,13,0,49,4,1
233,14,0,50,4,1
234,14,1,51,4,1
235,13,6,52,4,1
236,7,1,53,4,1
237,6,3,54,6,1
238,3,3,55,6,1
244,67,0,0,4,0
245,67,0,1,4,0
246,67,2,2,4,0
247,65,0,3,4,0
248,65,0,4,4,0
249,65,1,5,4,0
250,64,1,6,4,0
251,63,0,7,4,0
252,63,0,8,4,0
253,63,1,9,4,0
254,62,0,10,4,0
255,62,0,11,4,0
256,62,0,12,4,0
257,62,0,13,4,0
258,62,0,14,4,0
259,62,2,15,4,0
260,60,0,16,4,0
261,60,0,17,4,0
262,60,2,18,4,0
263,58,2,19,4,0
264,56,0,20,4,0
265,56,3,21,4,0
266,53,0,22,4,0
267,53,0,23,4,0
268,53,3,24,4,0
269,50,1,25,4,0
270,49,6,26,4,0
271,43,2,27,0,0
273,33,0,29,5,0
274,33,0,30,5,0
275,33,0,31,5,0
276,33,5,32,5,0
277,28,1,33,5,0
278,27,6,34,5,0
279,21,0,35,5,0
280,21,0,36,6,0
281,21,1,37,6,0
282,20,0,38,6,0
283,20,1,39,6,0
284,19,2,40,7,0
285,17,0,41,7,0
286,17,6,42,7,0
287,11,1,43,8,0
288,10,0,44,8,0
289,10,0,45,8,0
290,10,3,46,7,0
291,7,3,47,8,0
292,4,3,48,9,0
293,1,1,49,9,0
300,1,1,56,9,0
302,2,1,58,9,0
303,1,0,59,9,0
305,47,0,0,5,6
306,47,0,1,5,6
307,47,0,2,5,6
308,47,0,3,5,6
309,47,0,4,5,6
310,47,0,5,5,6
311,47,0,6,5,6
312,47,0,7,5,6
313,47,0,8,5,6
314,47,3,9,5,6
315,44,0,10,5,6
316,44,0,11,5,6
317,44,0,12,5,6
318,44,1,13,5,6
319,43,0,14,5,6
320,43,0,15,5,6
321,43,0,16,3,6
322,43,0,17,3,6
323,43,0,18,2,6
324,43,3,19,2,6
325,40,0,20,5,6
326,40,0,21,5,6
327,40,1,22,6,6
328,39,1,23,5,6
329,38,0,24,4,6
330,38,0,25,4,6
331,38,0,26,4,6
332,38,0,27,4,6
333,38,0,28,2,6
334,38,0,29,2,6
335,38,4,30,2,6
336,34,0,31,1,6
337,34,0,32,2,6
338,34,0,33,2,6
339,34,0,34,2,6
340,34,3,35,1,6
341,31,0,36,2,6
342,31,0,37,1,6
343,31,2,38,1,6
344,29,1,39,1,6
345,28,5,40,1,6
346,23,4,41,2,6
347,19,1,42,4,6
348,18,1,43,4,6
349,17,3,44,4,6
350,14,3,45,1,6
351,11,2,46,4,6
352,9,1,47,5,6
353,8,0,48,5,6
354,8,4,49,5,6
355,4,0,50,5,6
356,5,0,51,5,6
357,5,2,52,4,6
358,3,1,53,4,6
359,2,0,54,6,6
360,6,1,55,6,6
361,5,0,56,6,6
362,5,0,57,6,6
363,6,0,58,6,6
364,6,0,59,6,6
366,53,0,0,3,5
367,53,1,1,3,5
368,52,0,2,3,5
369,53,3,3,3,5
370,50,1,4,4,5
371,49,3,5,4,5
372,46,3,6,4,5
373,43,0,7,4,5
374,43,0,8,4,5
375,43,0,9,4,5
376,43,0,10,4,5
377,43,0,11,4,5
378,43,0,12,4,5
379,43,1,13,4,5
380,42,0,14,4,5
381,42,0,15,4,5
382,42,0,16,4,5
383,42,2,17,4,5
384,40,0,18,4,5
385,40,1,19,4,5
386,39,0,20,4,5
387,39,0,21,5,5
388,39,0,22,5,5
389,39,2,23,5,5
390,37,0,24,5,5
391,37,0,25,5,5
392,37,1,26,2,5
393,36,0,27,5,5
394,36,0,28,2,5
395,36,0,29,2,5
396,36,4,30,2,5
397,32,2,31,5,5
398,30,0,32,5,5
399,30,0,33,4,5
400,30,0,34,4,5
401,30,0,35,2,5
402,30,2,36,2,5
403,28,1,37,1,5
404,27,4,38,2,5
405,23,0,39,2,5
406,23,1,40,1,5
407,22,0,41,4,5
408,22,0,42,4,5
409,22,2,43,4,5
410,20,2,44,2,5
411,18,3,45,1,5
412,15,1,46,4,5
413,14,3,47,4,5
414,11,1,48,4,5
415,10,4,49,4,5
416,6,0,50,5,5
417,6,0,51,4,5
418,6,0,52,4,5
419,7,1,53,4,5
420,6,0,54,6,5
421,7,2,55,6,5
422,5,2,56,6,5
423,3,1,57,6,5
424,2,0,58,6,5
425,4,0,59,6,5
427,48,1,0,2,4
428,47,2,1,2,4
429,45,0,2,2,4
430,45,0,3,2,4
431,45,0,4,2,4
432,45,0,5,2,4
433,45,2,6,2,4
434,43,0,7,2,4
435,43,3,8,2,4
