,seats,difS,tdate,fareI,dd_dow
0,39,2,0,2,5
1,37,0,1,2,5
2,37,0,2,2,5
3,37,0,3,2,5
4,37,0,4,2,5
5,37,0,5,2,5
6,37,0,6,2,5
7,37,0,7,2,5
8,37,0,8,2,5
9,37,3,9,2,5
10,34,0,10,2,5
11,34,2,11,2,5
12,32,0,12,2,5
13,32,1,13,2,5
14,31,0,14,2,5
15,31,0,15,2,5
16,31,0,16,2,5
17,31,0,17,2,5
18,31,0,18,2,5
19,31,0,19,2,5
20,31,5,20,2,5
21,26,0,21,2,5
22,26,0,22,2,5
23,26,3,23,2,5
24,23,0,24,2,5
25,24,0,25,2,5
26,24,0,26,2,5
27,24,0,27,2,5
28,24,1,28,2,5
29,23,0,29,2,5
30,23,7,30,2,5
31,16,0,31,2,5
32,16,0,32,3,5
33,16,1,33,3,5
34,15,0,34,3,5
35,15,1,35,3,5
36,14,1,36,3,5
37,13,0,37,3,5
38,14,0,38,3,5
39,14,0,39,3,5
40,14,1,40,3,5
41,13,1,41,3,5
42,12,0,42,3,5
43,12,0,43,7,5
44,12,0,44,7,5
45,12,0,45,7,5
46,12,1,46,7,5
47,11,0,47,7,5
48,11,0,48,7,5
49,11,2,49,7,5
50,9,0,50,7,5
51,9,0,51,7,5
52,9,0,52,7,5
53,9,0,53,7,5
54,9,0,54,7,5
55,9,5,55,7,5
56,4,0,56,7,5
57,4,2,57,7,5
58,2,0,58,7,5
59,3,3,59,7,5
61,48,0,0,0,5
62,48,0,1,0,5
63,48,2,2,0,5
64,46,0,3,0,5
65,46,0,4,0,5
66,46,0,5,0,5
67,46,0,6,0,5
68,46,0,7,0,5
69,46,0,8,0,5
70,46,1,9,0,5
71,45,1,10,0,5
72,44,0,11,0,5
73,44,1,12,0,5
74,43,0,13,0,5
75,43,0,14,0,5
76,43,0,15,0,5
77,43,0,16,0,5
78,43,0,17,0,5
79,43,0,18,0,5
80,43,0,19,0,5
81,43,3,20,0,5
82,40,0,21,0,5
83,40,0,22,0,5
84,40,0,23,0,5
85,40,1,24,0,5
86,39,0,25,0,5
87,39,0,26,0,5
88,39,0,27,0,5
89,39,1,28,0,5
90,38,3,29,0,5
91,35,1,30,0,5
92,34,0,31,0,5
93,34,0,32,0,5
94,34,0,33,0,5
95,34,0,34,0,5
96,34,5,35,0,5
97,29,2,36,0,5
98,27,0,37,0,5
99,27,0,38,0,5
100,27,0,39,0,5
101,27,0,40,0,5
102,27,1,41,3,5
103,26,0,42,3,5
104,26,0,43,3,5
105,26,0,44,3,5
106,26,1,45,3,5
107,25,0,46,3,5
108,25,0,47,3,5
109,25,0,48,3,5
110,25,1,49,5,5
111,24,0,50,5,5
112,24,0,51,5,5
113,24,0,52,5,5
114,24,0,53,5,5
115,24,0,54,5,5
116,24,0,55,5,5
117,29,0,56,6,5
118,29,1,57,6,5
119,28,0,58,6,5
120,30,0,59,6,5
122,42,1,0,3,4
123,41,0,1,3,4
124,41,0,2,3,4
125,41,0,3,3,4
