,seats,difS,tdate,fareI,dd_dow
0,48,0,0,3,4
1,48,0,1,3,4
2,48,0,2,3,4
3,48,1,3,3,4
4,47,0,4,3,4
5,47,0,5,3,4
6,47,0,6,3,4
8,38,1,8,3,4
9,37,0,9,3,4
10,37,0,10,4,4
11,37,0,11,4,4
12,37,3,12,4,4
13,34,0,13,4,4
14,34,3,14,4,4
15,31,2,15,5,4
16,29,1,16,5,4
17,28,0,17,5,4
18,28,0,18,5,4
19,28,0,19,4,4
20,28,0,20,4,4
21,28,1,21,4,4
22,27,0,22,5,4
23,27,5,23,3,4
24,22,0,24,5,4
25,22,0,25,5,4
26,22,0,26,4,4
27,22,0,27,4,4
28,22,0,28,4,4
29,22,0,29,4,4
30,22,1,30,4,4
31,21,2,31,4,4
32,19,2,32,4,4
33,17,0,33,4,4
34,17,0,34,4,4
35,17,2,35,4,4
36,15,0,36,5,4
37,15,0,37,4,4
38,15,3,38,4,4
39,12,1,39,5,4
40,11,3,40,5,4
41,8,2,41,5,4
42,6,0,42,5,4
43,6,1,43,5,4
44,5,2,44,6,4
45,3,2,45,8,4
46,1,1,46,8,4
50,1,0,50,8,4
51,1,0,51,5,4
52,1,0,52,5,4
53,1,0,53,5,4
54,1,0,54,8,4
55,2,0,55,8,4
56,2,0,56,8,4
57,2,0,57,8,4
58,3,1,58,8,4
59,2,1,59,9,4
61,49,0,0,2,4
62,49,5,1,1,4
63,44,0,2,2,4
64,44,0,3,2,4
65,44,0,4,2,4
66,44,0,5,1,4
67,44,0,6,1,4
68,44,0,7,1,4
69,44,2,8,1,4
70,42,0,9,1,4
71,42,0,10,1,4
72,42,1,11,1,4
73,41,3,12,1,4
74,38,0,13,2,4
75,38,0,14,2,4
76,38,4,15,1,4
77,34,1,16,2,4
78,33,0,17,2,4
79,33,1,18,2,4
80,32,0,19,2,4
81,32,0,20,0,4
82,32,3,21,2,4
83,29,0,22,2,4
84,29,2,23,2,4
85,27,0,24,2,4
86,27,0,25,3,4
87,27,0,26,0,4
88,27,5,27,0,4
89,22,1,28,3,4
90,21,1,29,2,4
91,20,0,30,2,4
92,20,0,31,2,4
93,20,0,32,2,4
94,20,0,33,2,4
95,20,0,34,2,4
96,20,3,35,0,4
97,17,6,36,0,4
98,11,0,37,3,4
99,11,2,38,3,4
100,9,0,39,3,4
101,9,0,40,3,4
102,9,3,41,3,4
103,6,2,42,3,4
104,4,0,43,3,4
105,4,0,44,3,4
106,4,0,45,3,4
107,4,0,46,5,4
108,4,0,47,5,4
109,4,0,48,5,4
110,4,0,49,5,4
111,4,0,50,5,4
112,4,0,51,5,4
113,4,0,52,5,4
114,4,1,53,5,4
115,3,1,54,8,4
116,2,0,55,8,4
117,2,0,56,8,4
118,3,0,57,8,4
119,3,1,58,8,4
120,2,2,59,8,4
122,49,0,0,3,3
123,49,0,1,3,3
124,49,1,2,3,3
125,48,3,3,3,3
126,45,0,4,3,3
127,45,3,5,3,3
128,42,0,6,4,3
129,42,0,7,4,3
130,42,0,8,4,3
131,42,0,9,4,3
132,42,0,10,4,3
133,42,0,11,4,3
134,42,1,12,4,3
135,41,0,13,4,3
136,41,0,14,4,3
137,41,0,15,4,3
138,41,0,16,4,3
139,41,1,17,4,3
140,40,0,18,4,3
141,40,1,19,2,3
142,39,1,20,0,3
143,38,2,21,0,3
144,36,2,22,0,3
145,34,2,23,2,3
146,32,1,24,2,3
147,31,0,25,4,3
148,31,1,26,4,3
149,30,0,27,2,3
150,30,0,28,2,3
151,30,2,29,0,3
152,28,2,30,0,3
153,26,1,31,0,3
154,25,6,32,0,3
155,19,0,33,2,3
156,19,1,34,4,3
157,18,0,35,4,3
158,18,1,36,4,3
159,17,0,37,4,3
160,17,1,38,0,3
161,16,1,39,2,3
162,15,0,40,3,3
163,15,0,41,3,3
164,15,0,42,3,3
165,15,1,43,3,3
166,14,1,44,3,3
167,13,4,45,3,3
168,9,0,46,5,3
169,9,0,47,5,3
170,9,2,48,5,3
171,7,0,49,5,3
172,8,0,50,5,3
173,8,3,51,5,3
174,5,1,52,5,3
175,4,1,53,5,3
176,3,0,54,8,3
177,3,0,55,8,3
178,3,0,56,8,3
179,3,1,57,9,3
180,2,1,58,9,3
181,1,1,59,9,3
183,53,0,0,2,3
184,53,1,1,2,3
185,52,5,2,2,3
186,47,0,3,2,3
187,47,0,4,2,3
188,47,0,5,2,3
189,47,0,6,1,3
190,47,0,7,1,3
191,47,5,8,1,3
192,42,0,9,1,3
193,42,0,10,1,3
194,42,0,11,1,3
195,42,0,12,1,3
196,42,2,13,1,3
197,40,0,14,1,3
198,40,0,15,1,3
199,40,0,16,1,3
200,40,0,17,1,3
201,40,0,18,0,3
202,40,3,19,0,3
203,37,0,20,0,3
204,37,0,21,0,3
205,37,1,22,0,3
206,36,2,23,0,3
207,34,1,24,0,3
208,33,1,25,2,3
209,32,2,26,2,3
210,30,0,27,2,3
211,30,0,28,0,3
212,30,1,29,0,3
213,29,0,30,0,3
214,29,0,31,0,3
215,29,1,32,0,3
