,seats,difS,tdate,fareI,dd_dow
0,20,0,0,4,4
1,20,0,1,4,4
2,20,0,2,4,4
3,20,0,3,4,4
4,20,0,4,4,4
5,20,0,5,4,4
6,20,0,6,4,4
7,20,0,7,4,4
8,20,0,8,4,4
9,20,0,9,4,4
10,20,0,10,4,4
11,20,1,11,3,4
12,19,0,12,4,4
13,19,0,13,3,4
14,19,1,14,4,4
15,18,0,15,4,4
16,18,1,16,4,4
17,17,0,17,4,4
18,17,0,18,4,4
19,17,0,19,3,4
20,17,0,20,3,4
21,17,2,21,3,4
22,15,4,22,4,4
23,11,0,23,4,4
24,15,1,24,4,4
25,14,0,25,4,4
26,14,0,26,4,4
27,14,0,27,3,4
28,14,0,28,3,4
29,15,1,29,3,4
30,14,1,30,3,4
31,13,0,31,3,4
32,13,1,32,3,4
33,12,0,33,3,4
34,12,0,34,3,4
35,12,1,35,3,4
36,11,0,36,3,4
37,11,1,37,3,4
38,10,1,38,3,4
39,9,1,39,3,4
40,8,0,40,3,4
41,8,0,41,3,4
42,8,0,42,3,4
43,8,1,43,3,4
44,7,0,44,3,4
45,7,0,45,3,4
46,7,0,46,4,4
47,7,0,47,4,4
48,7,0,48,4,4
49,7,0,49,4,4
50,7,0,50,4,4
51,7,1,51,4,4
52,6,0,52,4,4
53,6,1,53,4,4
54,5,0,54,4,4
55,6,0,55,4,4
56,6,2,56,4,4
57,4,0,57,4,4
58,6,0,58,4,4
59,7,0,59,4,4
61,18,0,0,3,4
62,18,3,1,3,4
63,15,0,2,3,4
64,15,0,3,3,4
65,15,1,4,3,4
66,14,1,5,3,4
67,13,0,6,3,4
68,13,2,7,4,4
69,11,0,8,4,4
70,11,0,9,4,4
71,11,0,10,4,4
72,11,0,11,4,4
73,11,0,12,4,4
74,11,0,13,4,4
75,11,0,14,4,4
76,11,0,15,4,4
77,11,0,16,4,4
78,11,1,17,4,4
79,10,0,18,4,4
80,10,0,19,4,4
81,10,0,20,4,4
82,10,0,21,4,4
83,10,0,22,4,4
84,10,0,23,4,4
85,10,0,24,4,4
86,10,0,25,4,4
87,11,0,26,4,4
88,11,0,27,3,4
89,11,0,28,3,4
90,11,1,29,3,4
91,10,0,30,3,4
92,10,0,31,3,4
93,10,0,32,3,4
94,10,0,33,3,4
95,10,0,34,3,4
96,10,0,35,3,4
97,10,0,36,3,4
98,14,1,37,3,4
99,13,2,38,3,4
100,11,0,39,3,4
101,11,2,40,3,4
102,9,0,41,3,4
103,9,2,42,3,4
104,7,2,43,3,4
105,5,0,44,3,4
106,5,0,45,3,4
107,5,1,46,4,4
108,4,0,47,4,4
109,4,0,48,4,4
110,4,0,49,4,4
111,4,0,50,4,4
112,4,0,51,4,4
113,4,0,52,4,4
114,4,0,53,4,4
115,4,0,54,4,4
116,4,0,55,4,4
117,4,0,56,4,4
118,5,1,57,4,4
119,4,0,58,5,4
120,4,0,59,4,4
122,25,0,0,4,3
123,25,0,1,4,3
124,25,0,2,4,3
125,25,0,3,4,3
126,25,0,4,4,3
127,25,0,5,4,3
128,25,0,6,3,3
129,25,0,7,3,3
130,25,0,8,3,3
131,25,0,9,3,3
132,25,0,10,3,3
133,25,1,11,3,3
134,24,1,12,3,3
135,23,1,13,3,3
136,22,0,14,3,3
137,22,0,15,3,3
138,22,0,16,3,3
140,17,0,18,3,3
141,17,0,19,4,3
142,17,0,20,4,3
143,17,0,21,4,3
144,17,3,22,4,3
145,14,0,23,4,3
146,14,2,24,4,3
147,12,0,25,4,3
148,12,0,26,4,3
149,12,0,27,4,3
150,12,0,28,4,3
151,12,0,29,4,3
152,14,0,30,4,3
153,14,0,31,4,3
154,14,2,32,4,3
155,12,0,33,3,3
156,13,0,34,3,3
157,13,0,35,3,3
158,13,2,36,0,3
159,11,1,37,3,3
160,10,0,38,3,3
161,10,0,39,3,3
162,11,2,40,3,3
163,9,0,41,3,3
164,9,1,42,3,3
165,8,0,43,3,3
166,8,1,44,3,3
167,7,0,45,3,3
168,7,0,46,4,3
169,7,0,47,4,3
170,7,0,48,4,3
171,7,0,49,4,3
172,7,0,50,4,3
173,7,0,51,4,3
174,8,0,52,4,3
175,8,0,53,4,3
176,8,0,54,4,3
177,8,0,55,4,3
178,8,0,56,4,3
179,9,1,57,4,3
180,8,0,58,4,3
181,9,0,59,4,3
183,23,2,0,3,3
185,15,0,2,3,3
186,15,2,3,3,3
187,13,0,4,3,3
189,8,0,6,3,3
190,8,0,7,3,3
191,8,0,8,3,3
192,8,0,9,5,3
193,8,0,10,5,3
194,8,0,11,5,3
195,8,0,12,5,3
196,8,0,13,5,3
197,8,0,14,5,3
198,8,0,15,5,3
199,8,0,16,5,3
200,8,0,17,5,3
201,8,0,18,5,3
202,8,0,19,5,3
203,8,0,20,5,3
204,8,0,21,5,3
205,8,0,22,5,3
206,8,0,23,5,3
207,8,0,24,5,3
208,8,0,25,5,3
209,8,0,26,5,3
210,8,0,27,5,3
211,8,0,28,5,3
212,8,0,29,5,3
213,8,0,30,5,3
214,8,0,31,5,3
215,8,0,32,5,3
216,8,0,33,5,3
217,8,0,34,5,3
218,8,0,35,5,3
219,8,0,36,0,3
220,8,0,37,3,3
