,seats,difS,tdate,fareI,dd_dow
0,49,0,0,1,5
1,49,0,1,1,5
2,49,0,2,1,5
3,49,4,3,1,5
4,45,0,4,1,5
5,46,0,5,1,5
6,46,0,6,1,5
7,46,0,7,1,5
8,46,1,8,1,5
9,45,0,9,1,5
10,45,0,10,1,5
11,45,3,11,1,5
12,42,0,12,1,5
13,42,0,13,1,5
14,42,0,14,1,5
15,42,0,15,1,5
16,42,0,16,1,5
17,42,0,17,1,5
18,42,0,18,1,5
19,42,0,19,1,5
20,42,3,20,1,5
21,39,0,21,1,5
22,39,2,22,1,5
23,37,2,23,1,5
24,35,0,24,1,5
25,35,0,25,1,5
26,35,0,26,1,5
27,35,0,27,1,5
28,35,2,28,1,5
29,33,0,29,1,5
30,33,5,30,1,5
31,28,0,31,1,5
32,28,1,32,1,5
33,27,0,33,1,5
34,27,1,34,1,5
35,26,1,35,1,5
36,25,0,36,1,5
37,26,1,37,1,5
38,25,0,38,1,5
39,25,0,39,1,5
40,27,0,40,2,5
41,27,0,41,4,5
42,27,1,42,4,5
43,26,0,43,4,5
44,27,0,44,4,5
45,27,1,45,4,5
46,26,1,46,4,5
47,25,0,47,4,5
49,10,1,49,5,5
50,9,0,50,5,5
51,9,0,51,5,5
52,9,0,52,5,5
53,9,0,53,5,5
54,9,0,54,5,5
55,9,2,55,5,5
56,7,0,56,6,5
57,7,0,57,6,5
58,8,0,58,6,5
59,17,0,59,6,5
61,50,2,0,3,4
62,48,0,1,3,4
63,48,0,2,3,4
64,48,0,3,3,4
65,48,0,4,3,4
66,48,0,5,3,4
67,48,0,6,3,4
68,48,0,7,3,4
69,48,0,8,3,4
70,48,0,9,3,4
71,48,0,10,3,4
72,48,0,11,3,4
73,48,0,12,3,4
74,48,0,13,3,4
75,48,0,14,3,4
76,48,0,15,3,4
77,48,0,16,3,4
78,48,0,17,3,4
79,48,0,18,3,4
80,48,0,19,3,4
81,48,0,20,3,4
82,48,8,21,3,4
83,40,0,22,3,4
84,40,0,23,3,4
85,40,0,24,3,4
86,40,0,25,3,4
87,40,0,26,3,4
88,40,0,27,3,4
89,40,0,28,3,4
90,40,1,29,3,4
91,39,8,30,3,4
92,31,0,31,3,4
93,31,0,32,3,4
94,32,3,33,2,4
95,29,3,34,2,4
96,26,3,35,2,4
97,23,1,36,2,4
98,22,5,37,2,4
99,17,0,38,2,4
100,19,0,39,2,4
101,19,0,40,3,4
102,19,0,41,4,4
103,19,4,42,4,4
104,15,1,43,4,4
105,14,1,44,4,4
106,13,0,45,4,4
107,13,1,46,4,4
108,12,0,47,4,4
109,12,0,48,5,4
110,12,0,49,5,4
111,12,2,50,5,4
112,10,0,51,5,4
113,10,0,52,5,4
114,10,0,53,5,4
115,10,0,54,5,4
116,10,0,55,5,4
117,10,0,56,5,4
118,11,0,57,6,4
119,11,3,58,6,4
120,8,0,59,6,4
122,50,2,0,3,3
123,48,1,1,3,3
124,47,0,2,3,3
125,47,0,3,3,3
126,47,0,4,3,3
127,47,0,5,3,3
128,47,0,6,3,3
129,47,0,7,3,3
130,47,2,8,3,3
131,45,0,9,3,3
132,45,0,10,3,3
133,45,0,11,3,3
134,45,0,12,3,3
135,45,0,13,3,3
136,45,0,14,3,3
137,45,1,15,3,3
138,44,0,16,3,3
139,44,0,17,3,3
140,44,0,18,3,3
141,44,0,19,3,3
142,44,0,20,3,3
143,44,0,21,3,3
144,44,6,22,3,3
145,38,1,23,3,3
146,37,0,24,3,3
147,37,0,25,3,3
148,37,3,26,3,3
149,34,0,27,3,3
150,34,0,28,3,3
151,34,2,29,3,3
152,32,2,30,3,3
153,30,0,31,3,3
154,30,1,32,3,3
155,29,0,33,3,3
156,29,0,34,3,3
157,29,1,35,3,3
158,28,0,36,3,3
159,29,0,37,3,3
160,29,1,38,3,3
161,28,3,39,3,3
162,25,0,40,4,3
163,25,4,41,4,3
164,21,0,42,4,3
165,21,4,43,4,3
166,17,1,44,4,3
167,16,0,45,4,3
168,16,0,46,4,3
169,16,1,47,4,3
170,15,0,48,5,3
171,15,0,49,5,3
172,15,5,50,5,3
173,10,1,51,5,3
174,9,0,52,5,3
175,9,0,53,5,3
176,9,0,54,5,3
177,9,0,55,5,3
178,9,0,56,5,3
179,9,2,57,5,3
180,7,1,58,6,3
181,6,0,59,6,3
183,52,0,0,1,2
184,52,0,1,1,2
185,52,0,2,1,2
186,52,0,3,1,2
187,52,0,4,1,2
188,52,0,5,1,2
189,52,1,6,1,2
190,51,0,7,1,2
191,51,0,8,1,2
192,51,0,9,1,2
193,51,0,10,1,2
194,51,4,11,1,2
195,47,0,12,1,2
196,47,0,13,1,2
197,47,5,14,1,2
198,42,0,15,1,2
199,42,0,16,1,2
200,42,0,17,1,2
201,42,0,18,1,2
202,42,0,19,1,2
203,42,0,20,1,2
204,42,0,21,1,2
205,42,0,22,1,2
206,42,1,23,1,2
207,41,2,24,1,2
208,39,2,25,1,2
209,37,0,26,1,2
210,37,0,27,1,2
211,37,3,28,1,2
212,34,2,29,1,2
213,32,8,30,1,2
214,24,3,31,1,2
215,21,0,32,1,2
216,21,1,33,1,2
217,20,2,34,1,2
218,18,1,35,1,2
219,17,0,36,1,2
220,17,1,37,1,2
221,16,0,38,1,2
222,19,4,39,2,2
223,15,0,40,2,2
224,15,0,41,4,2
225,15,0,42,4,2
226,15,1,43,4,2
227,14,1,44,4,2
228,13,0,45,4,2
229,14,0,46,4,2
230,14,0,47,4,2
231,14,0,48,4,2
232,14,2,49,5,2
233,12,0,50,5,2
234,12,0,51,5,2
235,12,5,52,5,2
236,7,0,53,5,2
237,7,0,54,5,2
238,7,0,55,5,2
239,7,0,56,5,2
240,7,0,57,5,2
241,7,2,58,5,2
242,5,4,59,6,2
244,52,0,0,1,1
245,52,0,1,1,1
246,52,0,2,1,1
247,52,0,3,1,1
248,52,0,4,1,1
249,52,0,5,1,1
250,52,0,6,1,1
251,52,0,7,1,1
252,52,0,8,1,1
253,52,0,9,1,1
254,52,0,10,1,1
255,52,0,11,1,1
256,52,0,12,1,1
257,52,0,13,1,1
258,52,0,14,1,1
259,52,0,15,1,1
260,52,0,16,1,1
261,52,0,17,1,1
262,52,0,18,1,1
263,52,0,19,1,1
264,52,0,20,1,1
265,52,0,21,1,1
266,52,0,22,1,1
267,52,0,23,1,1
268,52,3,24,1,1
269,49,0,25,1,1
270,49,0,26,1,1
271,49,1,27,1,1
272,48,2,28,1,1
273,46,0,29,1,1
274,46,0,30,1,1
275,46,0,31,1,1
276,46,0,32,1,1
277,47,0,33,1,1
278,47,1,34,1,1
279,46,0,35,1,1
280,46,0,36,1,1
281,46,0,37,1,1
282,46,0,38,1,1
283,46,0,39,1,1
284,46,2,40,1,1
285,44,3,41,4,1
286,41,0,42,4,1
287,41,7,43,4,1
288,34,0,44,4,1
289,34,0,45,4,1
290,34,2,46,4,1
291,32,4,47,5,1
292,28,0,48,5,1
293,28,1,49,5,1
294,27,0,50,5,1
295,27,0,51,5,1
296,27,0,52,5,1
297,27,0,53,5,1
298,29,0,54,5,1
299,29,0,55,5,1
300,29,0,56,5,1
301,29,4,57,5,1
302,25,0,58,6,1
303,25,6,59,6,1
305,47,4,0,0,0
306,43,0,1,0,0
307,43,0,2,0,0
308,43,0,3,0,0
309,43,1,4,0,0
310,42,0,5,0,0
311,42,0,6,0,0
312,42,0,7,0,0
313,42,0,8,0,0
314,42,0,9,0,0
315,42,0,10,0,0
316,42,0,11,0,0
317,42,0,12,0,0
318,42,2,13,0,0
319,40,0,14,0,0
320,40,0,15,0,0
321,40,0,16,0,0
322,40,0,17,0,0
323,40,0,18,0,0
324,40,0,19,0,0
325,40,0,20,0,0
326,40,0,21,0,0
327,40,0,22,0,0
328,40,0,23,0,0
329,40,0,24,0,0
330,40,4,25,0,0
331,36,0,26,0,0
332,36,0,27,0,0
333,36,0,28,0,0
334,38,4,29,0,0
335,34,1,30,0,0
336,33,0,31,0,0
337,33,1,32,0,0
338,32,1,33,1,0
339,31,0,34,0,0
340,31,0,35,1,0
341,31,8,36,1,0
342,23,0,37,0,0
343,23,1,38,0,0
344,22,0,39,0,0
345,22,0,40,0,0
346,22,0,41,3,0
347,22,0,42,3,0
348,22,0,43,3,0
349,22,3,44,3,0
350,19,0,45,3,0
351,19,0,46,3,0
352,19,5,47,3,0
353,14,0,48,5,0
354,14,0,49,5,0
355,14,1,50,5,0
356,13,0,51,5,0
357,13,0,52,5,0
358,13,1,53,5,0
359,12,1,54,5,0
360,11,0,55,6,0
361,11,0,56,6,0
362,11,0,57,6,0
363,11,1,58,6,0
364,10,4,59,6,0
366,63,3,0,0,0
367,60,0,1,0,0
368,60,0,2,0,0
369,60,1,3,0,0
370,59,0,4,0,0
371,59,0,5,0,0
372,59,0,6,0,0
373,59,0,7,0,0
374,59,1,8,0,0
375,58,0,9,0,0
376,58,0,10,0,0
377,58,0,11,0,0
378,58,4,12,0,0
379,54,2,13,1,0
380,52,2,14,1,0
381,50,1,15,0,0
382,49,0,16,1,0
383,49,0,17,1,0
384,49,0,18,0,0
385,49,0,19,0,0
386,49,0,20,0,0
387,49,0,21,0,0
388,49,0,22,0,0
389,49,0,23,0,0
390,49,0,24,0,0
391,49,7,25,0,0
392,42,0,26,0,0
393,42,1,27,0,0
394,41,0,28,0,0
395,41,1,29,0,0
396,40,10,30,0,0
397,30,0,31,1,0
398,30,0,32,0,0
399,30,2,33,1,0
400,28,0,34,0,0
401,28,1,35,0,0
402,27,1,36,0,0
403,26,0,37,0,0
404,26,0,38,0,0
405,26,0,39,0,0
406,26,0,40,0,0
407,26,1,41,3,0
408,25,2,42,3,0
409,23,0,43,3,0
410,23,1,44,3,0
411,22,0,45,3,0
412,22,0,46,3,0
413,22,2,47,3,0
414,20,2,48,5,0
415,18,0,49,5,0
416,18,8,50,5,0
417,10,0,51,5,0
418,10,0,52,5,0
419,10,0,53,5,0
421,8,0,55,6,0
422,8,0,56,6,0
423,8,0,57,6,0
424,8,0,58,6,0
427,41,0,0,1,6
428,41,1,1,1,6
429,40,0,2,1,6
430,40,1,3,1,6
431,39,0,4,1,6
432,39,1,5,1,6
433,38,1,6,1,6
434,37,0,7,1,6
435,37,0,8,1,6
436,37,0,9,1,6
437,37,0,10,1,6
438,37,0,11,1,6
439,37,0,12,1,6
440,37,1,13,0,6
441,36,1,14,1,6
442,35,0,15,1,6
443,35,0,16,0,6
444,35,1,17,0,6
445,34,1,18,0,6
446,33,0,19,0,6
447,33,0,20,0,6
448,33,0,21,0,6
449,33,0,22,0,6
450,33,0,23,0,6
451,33,0,24,0,6
452,33,0,25,0,6
453,33,3,26,0,6
454,30,0,27,0,6
455,30,0,28,0,6
456,30,1,29,0,6
457,29,1,30,0,6
458,28,0,31,0,6
459,28,0,32,0,6
460,28,2,33,0,6
461,26,3,34,0,6
462,23,0,35,0,6
463,23,2,36,0,6
464,21,0,37,0,6
465,21,0,38,0,6
466,21,0,39,0,6
467,21,0,40,0,6
468,21,0,41,3,6
469,21,0,42,3,6
470,21,0,43,3,6
471,21,0,44,3,6
472,21,0,45,3,6
473,21,0,46,3,6
474,21,0,47,3,6
475,21,0,48,5,6
476,21,0,49,5,6
477,21,0,50,5,6
478,21,1,51,5,6
