,seats,difS,tdate,fareI,dd_dow
0,101,2,0,0,4
1,99,2,1,0,4
2,97,3,2,0,4
3,94,0,3,0,4
4,94,0,4,0,4
5,94,3,5,0,4
6,91,0,6,0,4
7,91,1,7,0,4
8,90,0,8,0,4
9,90,1,9,0,4
10,89,1,10,0,4
11,88,2,11,0,4
12,86,1,12,0,4
13,85,3,13,0,4
14,82,6,14,0,4
15,76,0,15,0,4
16,76,0,16,0,4
17,76,0,17,0,4
18,76,0,18,0,4
19,76,0,19,0,4
20,76,0,20,0,4
22,57,4,22,0,4
23,53,2,23,0,4
24,51,1,24,0,4
25,50,5,25,0,4
26,45,0,26,0,4
27,46,2,27,0,4
28,44,2,28,0,4
29,42,1,29,0,4
30,41,1,30,0,4
31,40,0,31,0,4
32,40,1,32,0,4
33,39,0,33,0,4
34,39,0,34,0,4
35,39,1,35,0,4
36,38,0,36,0,4
37,38,1,37,0,4
38,37,2,38,0,4
39,35,0,39,0,4
40,35,0,40,1,4
41,35,2,41,2,4
42,33,4,42,2,4
43,29,2,43,2,4
44,27,0,44,2,4
45,27,0,45,2,4
46,27,6,46,2,4
47,21,0,47,3,4
48,21,0,48,5,4
49,21,1,49,5,4
50,20,3,50,7,4
51,17,0,51,7,4
52,17,0,52,7,4
53,17,0,53,7,4
54,17,0,54,7,4
55,17,0,55,7,4
57,5,0,57,8,4
58,5,0,58,8,4
59,5,5,59,8,4
61,89,4,0,0,3
62,85,0,1,0,3
63,85,1,2,0,3
64,84,0,3,0,3
65,84,1,4,0,3
66,83,1,5,0,3
67,82,1,6,0,3
68,81,3,7,0,3
69,78,0,8,0,3
70,78,2,9,0,3
71,76,5,10,0,3
72,71,1,11,0,3
73,70,1,12,0,3
74,69,1,13,0,3
75,68,1,14,0,3
76,67,1,15,0,3
77,66,0,16,0,3
78,66,0,17,0,3
79,66,0,18,0,3
80,66,0,19,0,3
81,66,0,20,0,3
82,66,0,21,0,3
83,66,8,22,0,3
84,58,0,23,0,3
85,58,1,24,0,3
86,57,2,25,0,3
87,55,0,26,0,3
88,55,0,27,0,3
89,55,0,28,0,3
90,55,2,29,0,3
91,53,4,30,0,3
92,49,2,31,0,3
93,47,1,32,0,3
94,46,0,33,0,3
95,46,0,34,0,3
96,46,1,35,0,3
97,45,1,36,0,3
98,44,2,37,0,3
99,42,2,38,0,3
100,40,2,39,0,3
101,38,0,40,2,3
102,38,0,41,2,3
103,38,3,42,2,3
104,35,1,43,2,3
105,34,0,44,2,3
106,34,0,45,2,3
107,34,0,46,2,3
108,34,3,47,2,3
109,31,1,48,4,3
110,30,0,49,4,3
111,30,0,50,4,3
