,seats,difS,tdate,fareI,dd_dow
0,76,4,0,1,5
1,72,2,1,1,5
2,70,0,2,1,5
3,70,0,3,1,5
4,70,0,4,1,5
5,70,1,5,1,5
6,69,0,6,1,5
7,69,1,7,1,5
8,68,0,8,1,5
9,68,1,9,1,5
10,67,0,10,1,5
11,67,3,11,0,5
12,64,0,12,0,5
13,64,2,13,0,5
14,62,0,14,0,5
15,62,0,15,0,5
16,62,0,16,0,5
17,62,0,17,0,5
18,62,0,18,0,5
19,62,0,19,0,5
20,62,0,20,0,5
21,64,2,21,0,5
22,62,0,22,0,5
23,62,0,23,0,5
24,62,0,24,0,5
25,62,0,25,0,5
26,62,0,26,0,5
27,62,2,27,0,5
28,60,2,28,0,5
29,58,1,29,0,5
30,57,1,30,0,5
31,56,0,31,0,5
32,56,0,32,0,5
33,56,1,33,0,5
34,55,5,34,0,5
35,50,4,35,0,5
36,46,1,36,0,5
37,45,1,37,0,5
38,44,0,38,0,5
39,44,0,39,0,5
40,45,0,40,0,5
41,45,4,41,0,5
42,41,2,42,0,5
43,39,2,43,0,5
44,37,0,44,0,5
45,37,1,45,0,5
46,36,0,46,0,5
47,36,0,47,0,5
48,36,1,48,1,5
49,35,0,49,3,5
50,35,0,50,3,5
51,35,0,51,3,5
52,35,0,52,3,5
53,35,0,53,3,5
54,35,0,54,3,5
55,35,4,55,3,5
56,31,0,56,4,5
57,31,2,57,4,5
58,29,3,58,4,5
59,26,0,59,4,5
122,65,3,0,1,3
123,62,0,1,1,3
124,62,0,2,1,3
125,62,1,3,1,3
126,61,1,4,1,3
127,60,0,5,1,3
128,60,0,6,1,3
129,60,4,7,1,3
130,56,5,8,1,3
131,51,1,9,1,3
132,50,3,10,1,3
133,47,0,11,1,3
134,47,0,12,1,3
135,47,0,13,1,3
136,47,0,14,2,3
137,47,0,15,2,3
138,48,0,16,2,3
139,48,0,17,2,3
140,48,0,18,2,3
141,48,0,19,2,3
142,48,0,20,2,3
143,48,0,21,2,3
144,48,12,22,2,3
145,36,0,23,1,3
146,36,0,24,1,3
147,36,1,25,1,3
148,35,0,26,1,3
149,35,0,27,2,3
150,35,0,28,2,3
151,35,1,29,2,3
152,34,0,30,2,3
153,34,0,31,2,3
154,34,0,32,2,3
155,34,0,33,2,3
156,34,0,34,2,3
157,34,1,35,2,3
158,33,2,36,2,3
159,31,2,37,2,3
160,29,0,38,2,3
161,29,0,39,2,3
162,29,0,40,2,3
163,29,3,41,2,3
164,26,0,42,2,3
165,26,1,43,2,3
166,25,0,44,2,3
167,25,1,45,2,3
168,24,0,46,2,3
169,24,0,47,2,3
170,24,0,48,3,3
171,24,0,49,3,3
172,24,0,50,3,3
173,24,0,51,3,3
174,24,0,52,3,3
175,24,0,53,3,3
176,24,0,54,3,3
177,24,0,55,3,3
178,24,0,56,3,3
179,24,7,57,3,3
180,17,0,58,4,3
181,19,4,59,4,3
183,91,13,0,1,2
184,78,0,1,1,2
185,78,0,2,1,2
186,78,0,3,1,2
187,78,0,4,1,2
188,81,1,5,1,2
189,80,0,6,1,2
190,80,0,7,1,2
191,80,0,8,1,2
192,80,0,9,1,2
193,80,4,10,1,2
194,76,0,11,1,2
195,76,0,12,1,2
196,76,0,13,1,2
197,76,0,14,1,2
198,76,0,15,1,2
199,76,2,16,1,2
200,74,0,17,1,2
201,74,0,18,1,2
202,74,0,19,1,2
203,74,0,20,1,2
204,74,0,21,1,2
205,74,0,22,1,2
206,74,8,23,1,2
207,66,0,24,0,2
208,66,5,25,0,2
209,61,0,26,0,2
210,61,3,27,0,2
211,58,0,28,0,2
212,58,0,29,0,2
213,58,2,30,0,2
214,56,2,31,0,2
215,54,1,32,0,2
216,53,0,33,0,2
217,53,1,34,0,2
218,52,2,35,0,2
219,50,0,36,0,2
220,50,0,37,0,2
221,50,1,38,0,2
222,49,11,39,0,2
223,38,0,40,0,2
224,48,0,41,0,2
225,48,3,42,0,2
226,45,1,43,0,2
227,44,2,44,0,2
228,42,3,45,0,2
229,39,1,46,0,2
230,38,0,47,1,2
231,38,3,48,1,2
232,35,0,49,3,2
233,35,0,50,3,2
234,35,0,51,3,2
235,36,2,52,3,2
236,34,0,53,3,2
237,34,0,54,3,2
238,34,0,55,3,2
239,34,0,56,3,2
240,34,0,57,3,2
241,34,6,58,3,2
242,28,1,59,4,2
244,68,9,0,1,1
245,59,0,1,1,1
246,59,0,2,1,1
247,59,0,3,1,1
248,59,0,4,1,1
249,59,3,5,1,1
250,56,0,6,1,1
251,56,1,7,1,1
252,55,0,8,1,1
253,55,0,9,1,1
254,55,0,10,1,1
255,55,0,11,1,1
256,56,0,12,1,1
257,56,0,13,1,1
258,56,0,14,1,1
259,56,0,15,1,1
260,56,0,16,1,1
261,56,1,17,1,1
262,55,0,18,1,1
263,55,0,19,1,1
264,55,0,20,1,1
265,55,0,21,1,1
266,55,0,22,1,1
267,55,0,23,1,1
268,55,3,24,1,1
269,52,0,25,1,1
270,52,0,26,1,1
271,52,0,27,1,1
272,52,1,28,0,1
273,51,0,29,0,1
274,51,0,30,0,1
275,51,0,31,0,1
276,51,0,32,0,1
277,51,1,33,0,1
278,50,1,34,0,1
279,49,2,35,0,1
280,47,0,36,0,1
281,47,3,37,0,1
282,44,0,38,0,1
283,46,0,39,0,1
284,47,2,40,0,1
285,45,1,41,0,1
286,44,0,42,0,1
287,44,7,43,0,1
288,37,0,44,0,1
289,37,2,45,0,1
290,35,2,46,0,1
291,33,2,47,3,1
292,31,0,48,3,1
293,31,3,49,3,1
294,28,0,50,3,1
295,28,0,51,3,1
296,28,7,52,3,1
297,21,1,53,3,1
298,20,0,54,3,1
299,20,0,55,3,1
300,20,0,56,3,1
301,20,0,57,3,1
302,20,0,58,4,1
303,20,10,59,4,1
