,seats,difS,tdate,fareI,dd_dow
0,60,11,0,0,5
1,49,0,1,1,5
2,49,0,2,1,5
3,49,0,3,1,5
4,49,0,4,1,5
5,49,0,5,0,5
6,49,1,6,0,5
7,48,2,7,0,5
8,46,1,8,1,5
9,45,2,9,1,5
10,43,0,10,0,5
11,43,0,11,1,5
12,43,0,12,1,5
13,43,1,13,1,5
14,42,0,14,0,5
15,42,0,15,0,5
16,42,0,16,0,5
17,42,0,17,0,5
18,42,0,18,0,5
19,42,0,19,0,5
20,42,0,20,0,5
21,42,0,21,1,5
22,42,2,22,1,5
23,40,0,23,1,5
24,40,0,24,1,5
25,40,0,25,1,5
26,40,0,26,1,5
27,40,0,27,1,5
28,40,1,28,1,5
29,39,0,29,1,5
30,39,7,30,1,5
31,32,1,31,1,5
32,31,0,32,1,5
33,31,0,33,1,5
34,31,2,34,1,5
35,29,0,35,1,5
36,29,1,36,1,5
37,28,0,37,1,5
38,28,0,38,1,5
39,28,0,39,1,5
40,30,0,40,1,5
41,30,0,41,3,5
42,30,3,42,3,5
43,27,0,43,3,5
44,28,0,44,3,5
45,28,1,45,3,5
46,27,1,46,3,5
47,26,0,47,3,5
48,26,0,48,3,5
49,26,0,49,5,5
50,26,0,50,5,5
51,26,0,51,5,5
52,26,0,52,5,5
53,26,0,53,5,5
54,26,0,54,5,5
55,26,0,55,5,5
56,26,0,56,5,5
57,26,0,57,5,5
58,31,0,58,6,5
59,35,0,59,6,5
61,56,6,0,1,5
62,50,0,1,1,5
63,50,0,2,1,5
64,50,1,3,1,5
65,49,0,4,1,5
66,49,0,5,1,5
67,49,2,6,1,5
68,47,0,7,1,5
69,47,2,8,1,5
70,45,3,9,1,5
71,42,0,10,1,5
72,42,0,11,1,5
73,42,0,12,1,5
74,42,0,13,1,5
75,42,0,14,1,5
76,42,0,15,1,5
77,42,0,16,1,5
78,42,0,17,1,5
79,42,0,18,1,5
80,42,0,19,1,5
81,42,2,20,1,5
82,40,0,21,1,5
83,40,0,22,1,5
84,40,2,23,1,5
85,38,0,24,1,5
86,38,0,25,1,5
87,38,0,26,1,5
88,38,3,27,1,5
89,35,0,28,1,5
90,35,1,29,1,5
91,34,5,30,1,5
92,29,0,31,1,5
93,29,8,32,1,5
94,21,0,33,1,5
95,28,0,34,1,5
96,28,0,35,1,5
97,28,1,36,1,5
98,27,0,37,1,5
99,27,0,38,1,5
100,27,0,39,1,5
101,27,0,40,1,5
102,29,0,41,3,5
103,30,0,42,3,5
104,30,0,43,3,5
105,30,0,44,3,5
106,30,1,45,3,5
107,29,0,46,3,5
108,30,0,47,3,5
109,30,3,48,3,5
110,27,0,49,5,5
111,27,0,50,5,5
112,27,0,51,5,5
113,27,0,52,5,5
114,27,0,53,5,5
115,27,0,54,5,5
116,27,0,55,5,5
117,27,0,56,5,5
118,27,3,57,5,5
119,24,0,58,6,5
120,24,0,59,6,5
122,58,0,0,2,4
123,58,0,1,2,4
124,58,0,2,2,4
125,58,0,3,2,4
126,58,0,4,1,4
127,58,0,5,1,4
128,58,0,6,1,4
129,58,1,7,1,4
130,57,1,8,1,4
131,56,3,9,1,4
132,53,0,10,2,4
133,54,1,11,1,4
134,53,0,12,1,4
135,53,0,13,1,4
136,53,3,14,1,4
137,50,0,15,1,4
138,50,0,16,1,4
139,50,0,17,1,4
140,50,0,18,1,4
141,50,0,19,1,4
142,50,0,20,1,4
143,50,6,21,1,4
144,44,0,22,1,4
145,44,2,23,1,4
146,42,0,24,1,4
147,42,0,25,1,4
148,42,0,26,1,4
149,42,0,27,1,4
150,42,2,28,1,4
151,40,0,29,1,4
152,40,0,30,1,4
153,43,6,31,1,4
154,37,0,32,1,4
155,37,0,33,1,4
156,37,0,34,1,4
157,37,2,35,1,4
158,35,4,36,1,4
159,31,1,37,1,4
160,30,1,38,1,4
161,29,0,39,1,4
162,29,0,40,1,4
163,29,0,41,3,4
164,30,3,42,3,4
165,27,0,43,3,4
166,27,1,44,3,4
167,26,0,45,3,4
168,26,0,46,3,4
169,26,0,47,3,4
170,26,0,48,5,4
171,26,2,49,5,4
172,24,2,50,5,4
173,22,0,51,5,4
174,22,0,52,5,4
175,22,0,53,5,4
176,22,0,54,5,4
177,22,0,55,5,4
178,22,0,56,5,4
179,23,0,57,6,4
180,23,0,58,6,4
181,23,8,59,6,4
183,60,6,0,1,4
184,54,0,1,1,4
185,54,0,2,1,4
186,54,0,3,1,4
187,54,0,4,1,4
188,54,0,5,1,4
189,54,0,6,1,4
190,54,2,7,1,4
191,52,1,8,1,4
192,51,0,9,1,4
193,51,0,10,1,4
194,51,0,11,1,4
195,51,0,12,1,4
196,51,0,13,1,4
197,51,2,14,1,4
198,49,0,15,0,4
199,49,0,16,0,4
200,49,0,17,0,4
201,49,0,18,0,4
202,49,0,19,0,4
203,49,0,20,0,4
204,49,9,21,0,4
205,40,0,22,1,4
206,40,1,23,1,4
207,39,5,24,1,4
208,34,0,25,1,4
209,35,0,26,1,4
210,35,0,27,1,4
211,35,2,28,1,4
212,33,2,29,1,4
213,31,3,30,2,4
214,28,1,31,1,4
215,27,1,32,2,4
216,26,0,33,1,4
217,26,0,34,1,4
218,27,0,35,1,4
219,27,0,36,2,4
220,28,0,37,2,4
221,29,2,38,1,4
222,27,0,39,2,4
223,27,0,40,2,4
224,27,2,41,3,4
225,25,3,42,3,4
226,22,3,43,3,4
227,19,1,44,3,4
228,18,0,45,3,4
229,18,0,46,3,4
230,18,1,47,3,4
231,17,0,48,5,4
232,17,0,49,5,4
233,17,0,50,5,4
234,18,0,51,5,4
235,18,0,52,5,4
236,18,0,53,5,4
237,18,0,54,5,4
238,18,0,55,5,4
239,18,8,56,5,4
240,10,0,57,6,4
241,10,3,58,6,4
242,7,0,59,6,4
244,55,0,0,1,3
245,55,0,1,1,3
246,55,0,2,1,3
247,55,0,3,0,3
248,55,0,4,0,3
249,55,0,5,0,3
250,55,0,6,0,3
251,55,0,7,0,3
252,55,0,8,0,3
253,55,1,9,0,3
254,54,0,10,0,3
255,54,1,11,0,3
256,53,0,12,0,3
257,53,2,13,0,3
258,51,6,14,1,3
259,45,2,15,1,3
260,43,0,16,0,3
261,43,0,17,0,3
262,43,0,18,0,3
263,43,0,19,0,3
264,43,0,20,0,3
265,43,0,21,0,3
266,43,6,22,0,3
267,37,0,23,1,3
268,37,0,24,1,3
269,37,0,25,1,3
270,37,0,26,1,3
271,37,0,27,1,3
272,37,11,28,1,3
273,26,0,29,1,3
274,37,4,30,1,3
275,33,0,31,1,3
276,37,1,32,1,3
277,36,1,33,1,3
278,35,0,34,1,3
279,35,0,35,1,3
280,35,2,36,1,3
281,33,5,37,1,3
282,28,2,38,1,3
283,26,0,39,1,3
284,29,0,40,3,3
285,29,0,41,3,3
286,29,0,42,3,3
287,29,5,43,3,3
288,24,0,44,3,3
289,28,0,45,3,3
290,28,0,46,3,3
291,28,0,47,3,3
292,28,4,48,5,3
293,24,0,49,5,3
294,24,1,50,5,3
295,23,0,51,5,3
296,23,0,52,5,3
297,23,0,53,5,3
298,23,0,54,5,3
299,23,0,55,5,3
300,23,0,56,5,3
301,23,2,57,5,3
302,21,0,58,6,3
303,21,5,59,6,3
305,63,0,0,0,3
306,63,0,1,0,3
307,63,0,2,0,3
308,63,0,3,0,3
309,63,0,4,0,3
310,63,0,5,0,3
311,63,0,6,0,3
312,63,1,7,0,3
313,62,0,8,0,3
314,62,0,9,0,3
315,62,0,10,0,3
316,62,1,11,0,3
317,61,0,12,0,3
318,61,3,13,0,3
319,58,2,14,0,3
320,56,1,15,0,3
321,55,0,16,0,3
322,55,0,17,0,3
323,55,0,18,0,3
324,55,0,19,0,3
325,55,0,20,0,3
326,55,0,21,0,3
327,55,4,22,0,3
328,51,0,23,1,3
329,51,1,24,1,3
330,50,0,25,1,3
331,50,0,26,1,3
332,50,2,27,1,3
333,48,0,28,1,3
334,48,0,29,1,3
335,48,0,30,1,3
336,48,0,31,1,3
337,48,0,32,1,3
338,48,0,33,1,3
339,48,0,34,1,3
340,48,0,35,1,3
341,48,0,36,1,3
342,48,0,37,1,3
343,48,1,38,1,3
344,47,0,39,1,3
345,47,0,40,3,3
346,47,5,41,3,3
347,42,3,42,3,3
348,39,3,43,3,3
349,36,0,44,3,3
350,38,0,45,3,3
351,39,0,46,3,3
352,39,2,47,3,3
353,37,0,48,5,3
354,37,0,49,5,3
355,37,1,50,5,3
356,36,1,51,5,3
357,35,0,52,5,3
358,35,0,53,5,3
359,35,0,54,5,3
360,35,0,55,5,3
361,35,0,56,5,3
362,35,7,57,5,3
363,28,1,58,6,3
364,27,13,59,6,3
366,59,0,0,0,2
367,59,0,1,0,2
368,59,0,2,0,2
369,59,0,3,0,2
370,59,0,4,0,2
371,59,0,5,0,2
372,59,0,6,0,2
373,59,2,7,0,2
374,57,1,8,0,2
375,56,0,9,0,2
376,56,0,10,0,2
377,56,0,11,0,2
378,56,0,12,0,2
379,56,2,13,0,2
380,54,3,14,0,2
381,51,3,15,0,2
382,48,0,16,0,2
383,48,0,17,0,2
384,48,0,18,0,2
385,48,0,19,0,2
386,48,0,20,0,2
387,48,0,21,0,2
388,48,0,22,0,2
389,48,7,23,0,2
390,41,0,24,2,2
391,41,1,25,2,2
392,40,0,26,1,2
393,40,1,27,1,2
394,39,1,28,1,2
395,38,0,29,2,2
396,38,8,30,2,2
397,30,0,31,1,2
398,30,2,32,1,2
399,28,0,33,1,2
400,29,0,34,1,2
401,36,9,35,1,2
402,27,0,36,1,2
403,27,0,37,1,2
404,27,0,38,1,2
405,27,0,39,1,2
406,28,0,40,3,2
407,28,0,41,3,2
408,28,0,42,3,2
409,28,1,43,3,2
410,27,0,44,3,2
411,27,2,45,3,2
412,25,0,46,3,2
413,27,0,47,3,2
414,27,1,48,3,2
415,26,0,49,5,2
416,26,0,50,5,2
417,26,2,51,5,2
418,24,1,52,5,2
419,23,0,53,5,2
420,23,0,54,5,2
421,23,0,55,5,2
422,23,0,56,5,2
423,23,0,57,5,2
424,23,1,58,5,2
427,72,0,0,0,2
428,72,0,1,0,2
429,72,1,2,0,2
430,71,0,3,0,2
431,71,0,4,0,2
432,71,0,5,0,2
433,71,0,6,0,2
434,71,3,7,0,2
435,68,0,8,0,2
436,68,0,9,0,2
437,68,0,10,0,2
438,68,0,11,0,2
439,68,0,12,0,2
440,68,0,13,0,2
441,68,3,14,0,2
442,65,0,15,0,2
443,65,1,16,0,2
444,64,0,17,0,2
445,64,0,18,0,2
446,64,0,19,0,2
447,64,0,20,0,2
448,64,0,21,0,2
449,64,0,22,0,2
450,64,5,23,0,2
451,59,0,24,1,2
452,59,0,25,1,2
453,59,2,26,1,2
454,57,0,27,1,2
455,57,0,28,1,2
456,57,0,29,1,2
457,57,0,30,1,2
459,37,2,32,1,2
460,35,3,33,1,2
461,32,0,34,1,2
462,33,2,35,1,2
463,31,0,36,1,2
464,33,1,37,1,2
465,32,3,38,1,2
466,29,0,39,1,2
467,29,0,40,1,2
468,29,0,41,3,2
469,29,4,42,3,2
470,25,0,43,3,2
471,25,0,44,3,2
472,25,1,45,3,2
473,24,1,46,3,2
474,23,0,47,3,2
475,23,1,48,3,2
476,22,0,49,5,2
477,22,0,50,5,2
478,22,0,51,5,2
479,22,1,52,5,2
480,21,0,53,5,2
481,21,0,54,5,2
482,21,0,55,5,2
483,21,0,56,5,2
484,21,0,57,5,2
485,21,0,58,5,2
486,22,12,59,6,2
488,56,0,0,0,1
489,56,0,1,0,1
490,56,1,2,0,1
491,55,0,3,0,1
492,55,0,4,0,1
493,55,0,5,0,1
494,55,0,6,0,1
495,55,1,7,0,1
496,54,0,8,0,1
497,54,0,9,0,1
498,55,0,10,0,1
499,55,2,11,0,1
500,53,2,12,0,1
501,51,1,13,0,1
502,50,2,14,0,1
503,48,0,15,0,1
504,48,0,16,0,1
505,48,0,17,0,1
506,48,0,18,0,1
507,48,0,19,0,1
508,48,0,20,0,1
509,48,0,21,0,1
510,48,0,22,0,1
511,48,0,23,0,1
512,48,6,24,0,1
513,42,0,25,1,1
514,42,0,26,1,1
515,42,0,27,1,1
516,42,0,28,1,1
517,42,0,29,1,1
518,42,8,30,1,1
519,34,0,31,1,1
520,36,0,32,1,1
521,36,0,33,1,1
522,36,0,34,1,1
523,36,1,35,1,1
524,35,0,36,1,1
525,41,1,37,1,1
526,40,8,38,1,1
527,32,0,39,1,1
528,32,1,40,1,1
529,31,0,41,3,1
530,32,0,42,3,1
531,32,0,43,3,1
532,32,0,44,3,1
533,32,0,45,3,1
534,32,1,46,3,1
535,31,1,47,5,1
536,30,0,48,5,1
537,30,2,49,5,1
538,28,0,50,5,1
539,28,0,51,5,1
540,28,1,52,5,1
541,27,0,53,5,1
542,29,0,54,5,1
543,29,0,55,5,1
544,29,0,56,5,1
545,29,0,57,5,1
546,29,0,58,6,1
549,64,2,0,0,1
550,62,0,1,0,1
551,62,0,2,0,1
552,62,0,3,0,1
553,62,0,4,0,1
554,62,0,5,0,1
555,62,0,6,0,1
556,62,1,7,0,1
557,61,0,8,0,1
558,61,0,9,0,1
559,61,1,10,0,1
560,60,0,11,0,1
561,60,3,12,0,1
562,57,0,13,0,1
563,57,3,14,0,1
564,54,0,15,0,1
565,54,2,16,0,1
566,52,3,17,0,1
567,49,0,18,0,1
568,49,0,19,0,1
569,49,0,20,0,1
570,49,0,21,0,1
571,49,0,22,0,1
572,49,0,23,0,1
573,49,5,24,0,1
574,44,1,25,1,1
575,43,0,26,1,1
576,43,0,27,1,1
577,43,0,28,1,1
578,43,0,29,1,1
579,43,5,30,1,1
580,38,0,31,1,1
581,43,0,32,1,1
582,43,5,33,1,1
583,38,0,34,1,1
584,41,0,35,1,1
585,41,1,36,1,1
586,40,0,37,1,1
587,40,0,38,1,1
588,40,1,39,1,1
589,39,3,40,1,1
590,36,0,41,3,1
591,36,0,42,3,1
592,36,0,43,3,1
593,37,0,44,3,1
594,37,1,45,3,1
595,36,4,46,3,1
596,32,1,47,5,1
597,31,0,48,5,1
598,31,1,49,5,1
599,30,0,50,5,1
600,32,0,51,5,1
601,32,1,52,5,1
602,31,0,53,5,1
603,34,0,54,5,1
604,34,0,55,5,1
605,34,0,56,5,1
606,34,1,57,5,1
607,33,0,58,6,1
608,33,7,59,6,1
610,61,2,0,0,0
611,59,0,1,0,0
612,59,0,2,1,0
613,59,0,3,1,0
614,59,0,4,1,0
615,59,0,5,1,0
616,59,0,6,1,0
617,59,2,7,1,0
618,57,0,8,1,0
619,57,1,9,1,0
620,56,0,10,1,0
621,56,0,11,0,0
622,56,0,12,1,0
623,56,0,13,0,0
624,56,2,14,0,0
625,54,1,15,0,0
626,53,4,16,0,0
627,49,0,17,0,0
628,49,1,18,0,0
629,48,0,19,0,0
630,48,0,20,0,0
631,48,0,21,0,0
632,48,0,22,0,0
633,48,0,23,0,0
634,48,0,24,0,0
635,48,4,25,0,0
636,44,0,26,1,0
637,44,0,27,1,0
638,44,2,28,1,0
639,42,2,29,1,0
640,40,3,30,1,0
641,37,0,31,1,0
642,37,2,32,1,0
643,35,3,33,1,0
644,32,0,34,1,0
645,32,1,35,1,0
646,31,4,36,1,0
647,27,0,37,2,0
648,27,1,38,1,0
649,26,1,39,2,0
650,25,1,40,3,0
651,24,1,41,3,0
652,23,10,42,5,0
653,13,0,43,5,0
654,13,1,44,5,0
655,12,0,45,5,0
656,12,0,46,5,0
657,12,1,47,6,0
658,11,2,48,6,0
659,9,0,49,6,0
660,9,2,50,6,0
661,7,1,51,6,0
662,6,0,52,6,0
663,6,0,53,6,0
664,8,1,54,6,0
665,7,0,55,6,0
666,7,0,56,6,0
667,7,0,57,6,0
