,seats,difS,tdate,fareI,dd_dow
0,70,0,0,1,5
1,70,2,1,1,5
2,68,0,2,1,5
3,68,0,3,1,5
4,68,4,4,1,5
5,64,1,5,1,5
6,63,0,6,1,5
7,63,0,7,1,5
8,63,0,8,1,5
9,63,0,9,1,5
10,63,0,10,1,5
11,63,0,11,1,5
12,63,0,12,1,5
13,63,3,13,1,5
14,60,0,14,1,5
15,60,0,15,1,5
16,60,0,16,1,5
17,60,0,17,1,5
18,60,0,18,1,5
19,60,0,19,1,5
20,60,6,20,1,5
21,54,0,21,1,5
22,54,0,22,1,5
23,54,0,23,1,5
24,54,0,24,1,5
25,54,0,25,1,5
26,54,0,26,1,5
27,54,0,27,1,5
28,54,1,28,1,5
29,53,3,29,1,5
31,42,2,31,1,5
32,40,0,32,1,5
33,43,4,33,1,5
34,39,3,34,1,5
35,36,6,35,1,5
36,30,0,36,1,5
37,31,0,37,1,5
38,31,0,38,1,5
39,31,0,39,1,5
40,33,0,40,1,5
41,33,3,41,3,5
42,30,2,42,3,5
43,28,0,43,3,5
44,28,0,44,3,5
45,28,0,45,3,5
46,28,0,46,3,5
47,28,0,47,3,5
48,28,3,48,3,5
49,25,0,49,4,5
50,26,0,50,4,5
51,26,0,51,4,5
52,26,0,52,4,5
53,26,0,53,4,5
54,26,0,54,4,5
55,26,6,55,4,5
56,20,0,56,5,5
57,20,2,57,5,5
58,18,1,58,5,5
59,17,0,59,5,5
61,53,4,0,1,5
62,49,0,1,1,5
63,49,3,2,1,5
64,46,0,3,1,5
65,46,0,4,1,5
66,46,0,5,1,5
67,46,0,6,1,5
68,46,0,7,1,5
69,46,0,8,1,5
70,46,0,9,1,5
71,46,0,10,1,5
72,46,0,11,1,5
73,46,0,12,1,5
74,46,0,13,1,5
75,46,0,14,1,5
76,46,0,15,1,5
77,46,0,16,1,5
78,46,0,17,1,5
79,46,0,18,1,5
80,46,0,19,1,5
81,46,0,20,1,5
82,46,0,21,1,5
83,46,0,22,1,5
84,46,1,23,1,5
85,45,0,24,1,5
86,45,0,25,1,5
87,45,0,26,1,5
88,45,0,27,1,5
89,45,0,28,1,5
90,45,0,29,1,5
91,45,0,30,1,5
92,45,0,31,1,5
93,45,2,32,1,5
94,43,0,33,1,5
95,43,0,34,1,5
96,43,0,35,1,5
97,43,2,36,1,5
98,41,0,37,1,5
99,41,0,38,1,5
100,41,0,39,1,5
101,41,0,40,1,5
102,41,2,41,3,5
103,39,2,42,3,5
104,37,1,43,3,5
105,36,0,44,3,5
106,36,0,45,3,5
107,36,0,46,3,5
108,36,0,47,3,5
109,36,3,48,3,5
110,33,0,49,4,5
111,33,0,50,4,5
112,33,0,51,4,5
113,33,0,52,4,5
114,33,0,53,4,5
115,33,0,54,4,5
116,33,3,55,4,5
117,30,0,56,5,5
118,30,3,57,5,5
119,27,0,58,5,5
120,27,0,59,5,5
122,48,2,0,1,5
123,46,0,1,1,5
124,46,0,2,1,5
125,46,0,3,1,5
126,46,1,4,1,5
127,45,1,5,1,5
128,44,1,6,1,5
129,43,0,7,1,5
130,43,0,8,1,5
131,43,0,9,1,5
132,43,2,10,1,5
133,41,0,11,1,5
134,41,0,12,1,5
135,41,2,13,1,5
136,39,0,14,1,5
137,39,0,15,1,5
138,39,0,16,1,5
139,39,0,17,1,5
140,39,0,18,1,5
141,39,0,19,1,5
143,31,0,21,1,5
144,31,0,22,1,5
145,31,2,23,1,5
146,29,0,24,1,5
147,29,0,25,1,5
148,29,0,26,1,5
149,29,0,27,1,5
150,29,0,28,1,5
151,29,0,29,1,5
152,29,1,30,1,5
153,28,1,31,1,5
154,27,0,32,1,5
155,27,0,33,1,5
156,28,0,34,1,5
157,28,0,35,1,5
158,28,0,36,1,5
159,28,1,37,1,5
160,27,0,38,1,5
161,27,2,39,1,5
162,25,0,40,1,5
163,25,2,41,3,5
164,23,0,42,3,5
165,23,3,43,3,5
166,20,0,44,3,5
167,20,3,45,3,5
168,17,0,46,3,5
169,17,0,47,3,5
170,17,0,48,3,5
