,seats,difS,tdate,fareI,dd_dow
0,40,2,0,1,5
1,38,0,1,1,5
2,38,0,2,1,5
3,38,0,3,1,5
4,38,1,4,1,5
5,37,4,5,1,5
6,33,0,6,1,5
7,33,1,7,1,5
8,32,1,8,1,5
9,31,0,9,1,5
10,31,0,10,1,5
11,31,0,11,1,5
12,31,2,12,1,5
13,29,1,13,1,5
14,28,0,14,1,5
15,28,0,15,1,5
16,28,0,16,1,5
17,28,0,17,1,5
18,28,0,18,1,5
19,28,0,19,1,5
20,28,4,20,1,5
21,24,0,21,1,5
22,24,0,22,1,5
23,24,4,23,1,5
24,20,0,24,1,5
25,20,0,25,1,5
26,20,2,26,1,5
27,18,0,27,1,5
28,18,1,28,1,5
29,17,2,29,1,5
30,15,0,30,1,5
31,15,2,31,1,5
32,13,0,32,1,5
33,13,0,33,1,5
34,13,0,34,1,5
35,13,3,35,1,5
36,10,0,36,1,5
37,10,3,37,1,5
38,7,0,38,1,5
39,7,0,39,1,5
40,7,0,40,3,5
41,9,0,41,3,5
42,9,2,42,3,5
43,7,0,43,3,5
44,7,0,44,3,5
45,7,0,45,3,5
46,7,0,46,3,5
47,7,0,47,3,5
48,7,2,48,3,5
49,5,0,49,4,5
50,6,0,50,4,5
51,6,0,51,4,5
52,6,0,52,4,5
53,6,0,53,4,5
54,6,0,54,4,5
55,6,0,55,4,5
56,6,0,56,5,5
57,6,0,57,5,5
58,6,3,58,5,5
59,3,0,59,5,5
61,29,0,0,3,4
62,29,2,1,3,4
63,27,0,2,3,4
64,27,0,3,3,4
65,27,0,4,3,4
66,27,0,5,3,4
67,27,0,6,3,4
68,27,1,7,3,4
69,26,0,8,3,4
70,26,3,9,3,4
71,23,0,10,3,4
72,23,0,11,3,4
73,23,0,12,3,4
74,23,1,13,3,4
75,22,0,14,3,4
76,22,0,15,3,4
77,22,0,16,3,4
78,22,0,17,3,4
79,22,0,18,3,4
80,22,0,19,3,4
81,22,0,20,3,4
82,22,2,21,3,4
83,20,0,22,3,4
84,20,0,23,3,4
85,20,0,24,3,4
86,20,1,25,3,4
87,19,0,26,3,4
88,19,0,27,3,4
89,19,0,28,3,4
90,19,3,29,3,4
91,16,2,30,3,4
92,14,0,31,3,4
93,16,0,32,3,4
94,16,0,33,3,4
95,16,0,34,3,4
96,16,3,35,3,4
97,13,0,36,3,4
98,13,1,37,3,4
99,12,0,38,3,4
100,12,0,39,3,4
101,12,1,40,3,4
102,11,1,41,3,4
103,10,2,42,3,4
104,8,0,43,3,4
105,8,0,44,3,4
106,8,0,45,3,4
107,8,0,46,3,4
108,8,1,47,3,4
109,7,0,48,4,4
110,7,1,49,4,4
111,6,1,50,4,4
112,5,0,51,4,4
113,5,0,52,4,4
114,5,0,53,4,4
115,5,0,54,4,4
116,5,0,55,4,4
117,5,1,56,4,4
118,4,0,57,6,4
119,4,1,58,6,4
120,3,2,59,5,4
