,seats,difS,tdate,fareI,dd_dow
0,38,0,0,5,5
1,38,0,1,5,5
2,38,0,2,5,5
3,38,0,3,5,5
4,38,0,4,5,5
5,38,0,5,4,5
6,38,0,6,4,5
7,38,0,7,4,5
8,38,1,8,4,5
9,37,2,9,4,5
10,35,0,10,4,5
11,35,0,11,4,5
12,35,0,12,4,5
13,35,0,13,4,5
14,35,0,14,4,5
15,35,0,15,4,5
16,35,0,16,4,5
17,35,0,17,4,5
18,35,0,18,4,5
19,35,0,19,4,5
20,35,2,20,4,5
21,33,0,21,4,5
22,33,0,22,4,5
23,33,0,23,4,5
24,33,0,24,2,5
25,33,0,25,2,5
26,33,2,26,2,5
27,31,0,27,2,5
28,31,3,28,2,5
29,28,0,29,4,5
30,30,0,30,2,5
31,31,0,31,1,5
32,31,0,32,1,5
33,31,0,33,1,5
34,33,2,34,1,5
35,31,0,35,1,5
36,31,3,36,1,5
37,28,0,37,1,5
38,28,0,38,1,5
39,28,0,39,1,5
40,28,2,40,1,5
41,26,1,41,1,5
42,25,3,42,1,5
43,22,2,43,1,5
44,20,0,44,4,5
45,20,2,45,4,5
46,18,0,46,1,5
47,18,0,47,1,5
48,18,2,48,1,5
49,16,4,49,1,5
50,12,0,50,4,5
51,12,0,51,4,5
52,12,0,52,4,5
53,12,0,53,4,5
54,12,0,54,4,5
55,12,1,55,4,5
56,11,0,56,0,5
57,11,0,57,0,5
58,12,5,58,0,5
59,7,0,59,5,5
61,52,5,0,1,4
62,47,0,1,1,4
63,47,0,2,1,4
64,47,0,3,1,4
65,47,0,4,1,4
66,47,0,5,1,4
67,47,0,6,1,4
68,47,1,7,1,4
69,46,1,8,1,4
70,45,2,9,1,4
71,43,0,10,1,4
72,43,0,11,1,4
73,43,0,12,1,4
74,43,0,13,1,4
75,43,0,14,1,4
76,43,0,15,1,4
77,43,0,16,1,4
78,43,0,17,1,4
79,43,0,18,1,4
80,43,0,19,1,4
81,43,0,20,1,4
83,35,0,22,1,4
84,35,0,23,1,4
85,35,0,24,1,4
86,35,1,25,1,4
87,34,0,26,1,4
88,34,0,27,1,4
90,27,0,29,1,4
91,27,1,30,1,4
92,26,2,31,1,4
93,24,1,32,1,4
94,23,0,33,1,4
95,23,1,34,1,4
96,22,0,35,1,4
97,22,3,36,1,4
98,19,2,37,1,4
99,17,0,38,1,4
100,18,0,39,4,4
102,10,0,41,4,4
103,10,2,42,4,4
104,8,0,43,4,4
105,8,0,44,4,4
106,9,0,45,4,4
107,9,2,46,4,4
108,7,0,47,4,4
109,8,0,48,4,4
110,8,2,49,4,4
111,6,0,50,4,4
112,6,0,51,6,4
113,6,0,52,6,4
114,6,0,53,6,4
115,6,0,54,6,4
116,6,0,55,6,4
117,6,0,56,6,4
118,7,0,57,5,4
119,7,0,58,5,4
120,7,4,59,4,4
122,53,0,0,1,3
123,53,0,1,1,3
124,53,1,2,0,3
125,52,3,3,0,3
126,49,0,4,0,3
127,49,0,5,0,3
128,49,0,6,0,3
129,49,0,7,0,3
130,49,2,8,0,3
131,47,2,9,0,3
132,45,0,10,0,3
133,45,0,11,0,3
134,45,0,12,0,3
135,45,0,13,0,3
136,45,2,14,0,3
137,43,3,15,0,3
138,40,0,16,0,3
139,40,0,17,0,3
140,40,0,18,0,3
141,40,0,19,0,3
142,40,0,20,0,3
143,40,0,21,0,3
144,40,4,22,0,3
145,36,0,23,0,3
146,36,0,24,0,3
147,36,0,25,0,3
148,36,0,26,0,3
149,36,1,27,0,3
150,35,2,28,0,3
151,33,2,29,0,3
152,31,4,30,0,3
153,27,0,31,0,3
154,27,0,32,0,3
155,27,0,33,0,3
156,27,0,34,0,3
157,27,0,35,0,3
158,27,0,36,0,3
159,27,3,37,0,3
160,24,0,38,0,3
161,24,1,39,0,3
162,23,0,40,0,3
163,23,3,41,0,3
164,20,0,42,0,3
165,21,2,43,0,3
166,19,1,44,0,3
167,18,1,45,0,3
168,17,0,46,0,3
169,17,0,47,0,3
170,17,0,48,0,3
171,17,0,49,0,3
172,17,0,50,0,3
173,17,0,51,0,3
174,17,0,52,0,3
175,17,0,53,1,3
176,17,0,54,1,3
177,17,0,55,1,3
178,17,0,56,1,3
180,7,0,58,4,3
181,7,5,59,6,3
183,50,2,0,1,2
184,48,0,1,1,2
185,48,0,2,1,2
186,48,0,3,1,2
187,48,0,4,1,2
188,48,0,5,1,2
189,50,2,6,1,2
190,48,0,7,1,2
191,48,0,8,1,2
192,48,0,9,1,2
193,48,0,10,1,2
194,48,0,11,1,2
195,48,0,12,1,2
196,48,1,13,1,2
197,47,1,14,1,2
198,46,0,15,1,2
199,46,0,16,1,2
200,46,0,17,1,2
201,46,0,18,1,2
202,46,0,19,1,2
203,46,0,20,1,2
204,46,0,21,1,2
205,46,0,22,1,2
206,46,2,23,1,2
207,44,0,24,1,2
208,44,0,25,1,2
209,44,1,26,0,2
210,43,0,27,0,2
211,43,0,28,0,2
212,43,0,29,0,2
213,43,3,30,0,2
214,40,3,31,0,2
215,37,0,32,0,2
216,38,0,33,0,2
217,38,0,34,0,2
218,38,0,35,0,2
219,38,4,36,0,2
220,34,2,37,1,2
221,32,0,38,1,2
222,32,4,39,1,2
223,28,1,40,1,2
224,27,0,41,1,2
225,27,3,42,1,2
226,24,1,43,1,2
227,23,0,44,1,2
228,23,0,45,1,2
229,23,1,46,1,2
230,22,0,47,1,2
231,22,3,48,1,2
232,19,0,49,1,2
233,19,0,50,1,2
234,19,1,51,1,2
235,18,0,52,1,2
236,18,0,53,1,2
237,18,0,54,1,2
238,18,0,55,1,2
239,18,0,56,1,2
240,18,0,57,1,2
241,18,2,58,1,2
244,69,0,0,0,1
245,69,3,1,0,1
246,66,0,2,0,1
247,66,0,3,0,1
248,66,0,4,0,1
249,66,2,5,0,1
250,64,2,6,0,1
252,52,2,8,0,1
253,50,1,9,0,1
254,49,0,10,0,1
255,49,0,11,0,1
256,49,0,12,0,1
257,49,0,13,0,1
258,49,0,14,0,1
259,49,0,15,0,1
260,49,0,16,0,1
261,49,0,17,0,1
262,49,0,18,0,1
263,49,0,19,0,1
264,49,0,20,0,1
265,49,0,21,0,1
266,49,0,22,0,1
267,49,0,23,0,1
268,49,5,24,0,1
269,44,0,25,0,1
270,44,2,26,0,1
271,42,0,27,0,1
272,42,0,28,0,1
273,42,0,29,0,1
274,42,2,30,0,1
275,40,1,31,0,1
276,39,0,32,0,1
277,39,3,33,0,1
278,36,0,34,0,1
279,36,1,35,0,1
280,35,0,36,0,1
281,35,0,37,0,1
282,35,1,38,0,1
283,34,1,39,0,1
284,33,0,40,0,1
285,33,1,41,0,1
286,32,0,42,0,1
287,32,1,43,0,1
288,31,0,44,0,1
289,31,0,45,0,1
290,31,1,46,0,1
291,30,2,47,0,1
292,28,0,48,0,1
293,28,4,49,0,1
294,24,0,50,0,1
295,24,0,51,0,1
296,24,3,52,0,1
297,21,1,53,0,1
298,20,0,54,2,1
299,20,0,55,2,1
300,20,0,56,2,1
301,20,4,57,2,1
302,16,0,58,2,1
303,16,6,59,2,1
305,55,0,0,1,0
306,55,1,1,1,0
307,54,0,2,1,0
308,54,0,3,1,0
309,54,0,4,1,0
310,54,2,5,1,0
311,52,0,6,1,0
312,52,0,7,1,0
313,52,1,8,1,0
314,51,1,9,1,0
315,50,0,10,1,0
316,51,0,11,1,0
317,51,0,12,1,0
318,51,2,13,1,0
319,49,0,14,1,0
320,50,2,15,1,0
321,48,0,16,1,0
322,48,1,17,1,0
323,47,2,18,1,0
324,45,0,19,1,0
325,45,0,20,1,0
326,45,0,21,1,0
327,45,0,22,1,0
328,45,0,23,1,0
329,45,0,24,1,0
331,35,0,26,1,0
332,35,0,27,1,0
333,35,0,28,1,0
334,35,5,29,1,0
335,30,0,30,1,0
336,30,0,31,1,0
337,30,1,32,1,0
338,29,3,33,1,0
339,26,3,34,1,0
340,23,0,35,2,0
341,23,1,36,2,0
342,22,0,37,2,0
343,22,0,38,2,0
344,22,1,39,2,0
345,21,1,40,2,0
346,20,1,41,2,0
347,19,3,42,2,0
348,16,0,43,2,0
349,16,1,44,2,0
350,15,1,45,3,0
351,14,1,46,2,0
352,13,0,47,3,0
353,13,4,48,3,0
354,9,0,49,3,0
355,9,3,50,3,0
356,6,0,51,4,0
357,6,0,52,4,0
358,6,2,53,4,0
359,4,0,54,4,0
360,6,0,55,3,0
361,6,0,56,6,0
362,6,0,57,6,0
363,6,5,58,6,0
364,1,1,59,6,0
366,56,2,0,2,6
367,54,1,1,2,6
368,53,0,2,2,6
369,53,0,3,1,6
370,53,2,4,1,6
371,51,0,5,1,6
372,52,0,6,1,6
373,52,0,7,1,6
374,52,0,8,1,6
375,52,0,9,1,6
376,52,0,10,1,6
377,52,1,11,1,6
378,51,0,12,1,6
379,51,0,13,1,6
381,44,0,15,1,6
382,44,0,16,1,6
383,44,0,17,1,6
384,44,0,18,1,6
385,44,0,19,1,6
386,44,0,20,1,6
387,44,0,21,1,6
388,44,0,22,1,6
389,44,0,23,1,6
390,44,0,24,1,6
391,44,0,25,1,6
392,44,6,26,1,6
393,38,0,27,1,6
394,38,0,28,1,6
395,38,1,29,1,6
396,37,0,30,1,6
397,37,3,31,1,6
398,34,2,32,1,6
399,32,2,33,1,6
400,30,0,34,1,6
401,30,1,35,1,6
402,29,5,36,1,6
403,24,0,37,1,6
404,24,1,38,1,6
405,23,0,39,1,6
406,24,3,40,1,6
407,21,0,41,1,6
408,22,3,42,1,6
409,19,1,43,1,6
410,18,0,44,1,6
411,18,2,45,1,6
412,16,0,46,1,6
413,16,1,47,1,6
414,15,0,48,1,6
415,16,0,49,1,6
416,16,0,50,1,6
417,16,4,51,1,6
418,12,0,52,1,6
419,12,0,53,1,6
420,12,4,54,1,6
421,8,1,55,1,6
422,7,0,56,6,6
423,7,0,57,6,6
424,7,5,58,6,6
425,2,1,59,6,6
427,51,2,0,0,5
428,49,0,1,0,5
429,49,0,2,0,5
430,49,0,3,0,5
431,49,0,4,0,5
432,49,0,5,0,5
433,49,0,6,0,5
434,49,0,7,0,5
435,49,0,8,0,5
436,49,1,9,0,5
437,48,1,10,0,5
438,47,3,11,0,5
439,44,0,12,0,5
440,44,0,13,0,5
441,44,0,14,0,5
442,44,0,15,0,5
443,44,0,16,0,5
444,44,0,17,0,5
445,44,2,18,0,5
446,42,2,19,0,5
447,40,4,20,0,5
448,36,0,21,0,5
449,36,0,22,0,5
450,36,0,23,0,5
451,36,0,24,0,5
452,36,0,25,0,5
453,36,0,26,0,5
454,36,2,27,0,5
455,34,0,28,0,5
456,34,0,29,0,5
457,34,0,30,0,5
458,34,3,31,0,5
459,31,0,32,0,5
460,31,0,33,0,5
461,31,0,34,0,5
462,31,0,35,0,5
463,32,0,36,0,5
464,32,0,37,0,5
465,32,1,38,0,5
466,31,0,39,0,5
467,34,0,40,0,5
468,34,0,41,0,5
469,34,1,42,0,5
470,33,0,43,0,5
471,33,0,44,0,5
472,33,0,45,0,5
473,33,1,46,0,5
474,32,0,47,0,5
475,32,1,48,0,5
476,31,3,49,0,5
477,28,1,50,0,5
478,27,0,51,0,5
479,27,0,52,0,5
480,30,2,53,0,5
481,28,0,54,0,5
482,28,4,55,0,5
483,24,1,56,1,5
484,23,0,57,0,5
485,23,2,58,0,5
488,55,1,0,1,4
489,54,1,1,1,4
490,53,0,2,1,4
491,53,0,3,1,4
492,53,0,4,1,4
493,53,0,5,1,4
494,53,0,6,1,4
495,53,0,7,1,4
496,53,0,8,1,4
497,53,0,9,1,4
498,53,0,10,1,4
499,53,0,11,1,4
500,53,0,12,1,4
501,53,0,13,1,4
502,53,0,14,1,4
503,53,0,15,1,4
504,53,0,16,1,4
505,53,0,17,1,4
506,54,0,18,1,4
507,54,0,19,1,4
508,54,0,20,1,4
509,54,0,21,1,4
510,54,0,22,1,4
511,54,0,23,1,4
512,54,0,24,1,4
513,54,0,25,1,4
514,54,0,26,1,4
515,54,0,27,1,4
517,44,5,29,0,4
518,39,0,30,0,4
519,39,3,31,0,4
520,36,2,32,0,4
521,34,0,33,0,4
522,34,1,34,0,4
523,33,0,35,0,4
524,33,1,36,0,4
525,32,2,37,0,4
526,30,0,38,0,4
527,31,1,39,0,4
528,30,0,40,0,4
529,30,1,41,0,4
530,29,2,42,0,4
531,27,0,43,0,4
532,28,0,44,0,4
533,28,2,45,0,4
534,26,0,46,0,4
535,26,2,47,0,4
536,24,0,48,0,4
537,25,0,49,0,4
538,25,2,50,0,4
539,23,0,51,0,4
540,24,3,52,0,4
541,21,0,53,0,4
542,22,0,54,0,4
543,22,0,55,1,4
544,22,3,56,1,4
545,19,0,57,2,4
546,19,1,58,1,4
549,46,0,0,1,3
550,46,0,1,1,3
551,46,0,2,1,3
552,46,0,3,1,3
553,46,2,4,1,3
554,44,0,5,1,3
555,44,0,6,0,3
556,44,0,7,0,3
557,44,2,8,0,3
558,42,0,9,0,3
559,42,0,10,0,3
560,42,0,11,0,3
561,42,0,12,0,3
562,42,0,13,0,3
563,42,0,14,0,3
564,42,0,15,0,3
565,42,0,16,0,3
566,42,0,17,0,3
567,42,4,18,0,3
568,38,4,19,0,3
569,34,0,20,0,3
570,34,0,21,0,3
571,34,0,22,0,3
572,34,0,23,0,3
573,34,0,24,0,3
574,34,0,25,0,3
575,34,0,26,0,3
576,34,0,27,0,3
577,34,0,28,0,3
579,27,2,30,0,3
580,25,0,31,0,3
581,25,0,32,0,3
582,25,0,33,0,3
583,26,0,34,0,3
584,26,0,35,0,3
585,26,1,36,0,3
586,25,2,37,0,3
587,23,0,38,0,3
588,24,1,39,0,3
589,23,0,40,0,3
590,23,3,41,0,3
591,20,0,42,0,3
592,20,0,43,0,3
593,20,2,44,0,3
594,18,1,45,0,3
595,17,1,46,0,3
596,16,3,47,0,3
597,13,2,48,0,3
598,11,0,49,0,3
