,seats,difS,tdate,fareI,dd_dow
0,91,5,0,1,5
1,86,0,1,1,5
2,86,1,2,1,5
3,85,0,3,1,5
4,85,0,4,1,5
5,85,0,5,1,5
6,85,4,6,1,5
7,81,0,7,1,5
8,81,0,8,1,5
9,82,0,9,1,5
10,82,1,10,2,5
11,81,0,11,2,5
12,81,2,12,2,5
13,79,0,13,2,5
14,81,0,14,1,5
15,81,0,15,1,5
16,81,0,16,1,5
17,81,0,17,1,5
18,81,0,18,1,5
19,81,0,19,1,5
20,81,8,20,1,5
21,73,1,21,2,5
22,72,1,22,2,5
23,71,2,23,1,5
24,69,2,24,1,5
25,67,2,25,1,5
26,65,1,26,1,5
27,64,1,27,2,5
28,63,0,28,0,5
29,63,7,29,1,5
30,56,0,30,1,5
31,56,0,31,1,5
32,56,0,32,1,5
33,56,1,33,1,5
34,55,3,34,1,5
35,52,3,35,1,5
36,49,0,36,1,5
37,49,0,37,1,5
38,49,0,38,1,5
39,49,1,39,1,5
40,48,0,40,1,5
41,48,4,41,1,5
42,44,0,42,3,5
43,44,0,43,3,5
44,44,0,44,3,5
45,44,2,45,3,5
46,42,3,46,3,5
47,39,0,47,3,5
48,39,0,48,3,5
49,39,1,49,4,5
50,38,0,50,4,5
51,38,0,51,4,5
52,38,0,52,4,5
53,38,0,53,4,5
54,38,0,54,4,5
55,38,3,55,4,5
56,35,0,56,6,5
57,35,1,57,6,5
58,34,6,58,6,5
59,28,0,59,6,5
61,106,5,0,2,4
62,101,0,1,2,4
63,101,0,2,2,4
64,101,0,3,2,4
65,101,0,4,2,4
66,101,0,5,2,4
67,101,0,6,2,4
68,101,0,7,2,4
69,101,2,8,1,4
70,99,9,9,1,4
71,90,0,10,2,4
72,90,0,11,2,4
73,90,0,12,2,4
74,90,0,13,2,4
75,90,1,14,2,4
76,89,0,15,2,4
77,89,0,16,2,4
78,89,0,17,2,4
79,89,0,18,2,4
80,89,0,19,2,4
81,89,0,20,2,4
82,89,18,21,2,4
83,71,1,22,2,4
84,70,2,23,2,4
85,68,4,24,2,4
86,64,0,25,2,4
87,64,0,26,2,4
88,64,2,27,2,4
89,62,5,28,2,4
90,57,1,29,2,4
91,56,2,30,2,4
92,54,2,31,2,4
93,52,0,32,2,4
94,52,2,33,2,4
95,50,1,34,2,4
96,49,4,35,2,4
97,45,0,36,2,4
98,47,0,37,2,4
99,47,3,38,2,4
100,44,0,39,2,4
101,44,7,40,2,4
102,37,1,41,3,4
103,36,3,42,3,4
104,33,0,43,4,4
105,33,0,44,4,4
106,33,0,45,4,4
107,33,7,46,4,4
108,26,2,47,5,4
109,24,0,48,5,4
110,24,4,49,5,4
111,20,2,50,5,4
112,18,0,51,7,4
113,18,0,52,7,4
114,18,0,53,7,4
115,18,0,54,7,4
116,18,0,55,7,4
117,18,0,56,7,4
118,23,0,57,6,4
119,23,0,58,6,4
120,24,16,59,6,4
122,130,3,0,0,3
123,127,0,1,0,3
124,128,0,2,0,3
125,128,2,3,0,3
126,126,0,4,0,3
127,126,0,5,0,3
128,126,0,6,0,3
129,126,2,7,0,3
130,124,2,8,0,3
131,122,1,9,0,3
132,121,4,10,0,3
133,117,5,11,0,3
134,112,3,12,0,3
135,109,0,13,0,3
136,109,0,14,0,3
137,109,3,15,0,3
138,106,0,16,0,3
139,106,0,17,0,3
140,106,0,18,0,3
141,106,0,19,0,3
142,106,0,20,0,3
143,106,0,21,0,3
145,84,0,23,1,3
146,84,0,24,1,3
