,seats,difS,tdate,fareI,dd_dow
0,51,0,0,0,5
1,51,0,1,0,5
2,51,0,2,0,5
3,51,0,3,0,5
4,51,0,4,0,5
5,51,2,5,0,5
6,49,0,6,0,5
7,49,2,7,0,5
8,47,0,8,0,5
9,47,2,9,0,5
10,45,0,10,0,5
11,45,1,11,0,5
12,44,0,12,0,5
13,44,0,13,0,5
14,44,0,14,0,5
15,44,0,15,0,5
16,44,0,16,0,5
17,44,0,17,0,5
18,44,0,18,0,5
19,44,0,19,0,5
21,33,0,21,0,5
22,33,4,22,0,5
23,29,1,23,0,5
24,28,0,24,0,5
25,28,0,25,0,5
26,28,1,26,0,5
27,27,1,27,0,5
28,26,0,28,0,5
29,27,1,29,0,5
30,26,1,30,0,5
31,25,1,31,0,5
32,24,0,32,0,5
33,24,3,33,0,5
34,21,3,34,0,5
35,18,0,35,0,5
36,18,0,36,1,5
37,18,0,37,1,5
38,18,0,38,2,5
39,18,0,39,2,5
40,20,0,40,2,5
41,20,9,41,2,5
42,11,3,42,2,5
43,8,0,43,4,5
44,8,0,44,4,5
45,8,0,45,4,5
46,8,0,46,4,5
47,8,0,47,4,5
48,8,1,48,4,5
49,7,0,49,6,5
50,7,0,50,4,5
51,7,0,51,4,5
52,7,0,52,4,5
53,7,0,53,4,5
54,7,0,54,4,5
55,7,0,55,4,5
56,7,0,56,4,5
57,7,2,57,4,5
58,5,0,58,6,5
59,5,0,59,6,5
61,56,0,0,0,5
62,56,0,1,0,5
63,56,0,2,0,5
64,56,1,3,0,5
65,55,0,4,0,5
66,55,0,5,0,5
67,55,0,6,0,5
68,55,0,7,0,5
70,41,0,9,0,5
71,51,0,10,0,5
72,51,2,11,0,5
73,49,0,12,0,5
74,49,2,13,0,5
75,47,0,14,0,5
76,47,0,15,0,5
77,47,0,16,0,5
78,47,0,17,0,5
79,47,0,18,0,5
80,47,0,19,0,5
81,47,0,20,0,5
82,47,4,21,0,5
83,43,0,22,0,5
84,43,0,23,0,5
85,43,0,24,0,5
86,43,0,25,0,5
87,43,0,26,0,5
88,43,2,27,0,5
89,41,0,28,0,5
90,41,0,29,0,5
91,41,5,30,0,5
92,36,1,31,0,5
93,35,0,32,0,5
94,35,2,33,0,5
95,33,0,34,0,5
96,34,0,35,0,5
97,34,0,36,0,5
98,34,1,37,0,5
99,33,0,38,0,5
100,33,3,39,0,5
101,30,0,40,0,5
102,30,1,41,2,5
103,29,4,42,2,5
104,25,0,43,2,5
105,25,0,44,2,5
106,25,4,45,2,5
107,21,0,46,2,5
108,21,0,47,2,5
109,21,0,48,2,5
110,22,1,49,4,5
111,21,0,50,4,5
112,21,0,51,4,5
113,21,0,52,4,5
114,21,0,53,4,5
115,21,0,54,4,5
116,21,0,55,4,5
117,21,0,56,4,5
118,21,2,57,4,5
119,19,0,58,6,5
120,19,0,59,6,5
122,45,8,0,1,4
123,37,2,1,1,4
124,35,0,2,2,4
125,35,0,3,2,4
126,35,1,4,2,4
127,34,0,5,2,4
128,34,0,6,2,4
129,34,0,7,2,4
130,34,0,8,2,4
131,34,0,9,2,4
132,34,0,10,2,4
133,34,0,11,2,4
134,34,2,12,2,4
135,32,0,13,2,4
136,32,0,14,2,4
137,32,0,15,2,4
138,32,0,16,2,4
139,32,0,17,2,4
140,32,0,18,2,4
141,32,0,19,2,4
142,32,0,20,2,4
143,32,9,21,2,4
144,23,0,22,4,4
145,23,0,23,4,4
146,23,0,24,3,4
147,23,0,25,4,4
148,23,0,26,4,4
149,23,0,27,4,4
150,23,2,28,4,4
151,21,2,29,4,4
152,19,2,30,4,4
153,17,1,31,3,4
154,16,0,32,4,4
155,17,0,33,4,4
156,17,1,34,4,4
157,16,0,35,4,4
158,17,6,36,4,4
159,11,0,37,4,4
160,11,0,38,4,4
161,16,0,39,3,4
162,16,0,40,3,4
163,19,8,41,3,4
164,11,1,42,4,4
165,10,0,43,4,4
166,10,1,44,4,4
167,9,0,45,4,4
168,9,2,46,4,4
169,7,0,47,4,4
170,7,0,48,4,4
171,7,0,49,4,4
172,7,1,50,4,4
173,6,0,51,6,4
174,6,0,52,6,4
175,6,0,53,6,4
176,6,0,54,6,4
177,6,0,55,6,4
178,6,0,56,6,4
179,7,0,57,6,4
180,7,3,58,6,4
181,4,1,59,6,4
183,45,8,0,2,4
184,37,1,1,2,4
185,36,0,2,2,4
186,36,0,3,2,4
187,36,2,4,2,4
188,34,0,5,2,4
189,34,0,6,2,4
190,34,2,7,2,4
191,32,0,8,2,4
193,22,0,10,2,4
194,32,0,11,2,4
195,32,0,12,2,4
196,32,0,13,2,4
197,32,0,14,2,4
198,32,0,15,2,4
199,32,0,16,2,4
200,32,0,17,2,4
201,32,0,18,2,4
202,32,0,19,2,4
203,32,0,20,2,4
204,32,4,21,2,4
205,28,0,22,2,4
206,28,0,23,2,4
207,28,0,24,3,4
208,28,0,25,3,4
209,28,1,26,3,4
210,27,0,27,6,4
211,27,2,28,6,4
212,25,0,29,6,4
213,25,7,30,6,4
214,18,2,31,5,4
215,16,0,32,5,4
216,18,0,33,5,4
217,18,0,34,5,4
218,18,1,35,5,4
219,17,0,36,6,4
220,17,1,37,5,4
221,16,0,38,5,4
222,16,0,39,5,4
223,16,0,40,5,4
224,18,0,41,5,4
225,18,0,42,5,4
226,20,0,43,4,4
227,20,0,44,3,4
228,20,0,45,3,4
229,20,1,46,3,4
230,19,0,47,3,4
231,19,0,48,4,4
232,19,0,49,4,4
233,19,0,50,4,4
234,19,0,51,4,4
235,19,0,52,4,4
236,19,0,53,4,4
237,19,0,54,4,4
238,19,0,55,4,4
240,8,0,57,6,4
241,8,0,58,6,4
242,11,9,59,6,4
244,50,2,0,0,3
245,48,0,1,0,3
247,28,2,3,2,3
248,26,0,4,3,3
249,26,0,5,3,3
250,26,0,6,3,3
251,26,0,7,3,3
252,26,0,8,3,3
253,26,0,9,3,3
254,26,0,10,2,3
255,26,1,11,2,3
256,25,0,12,3,3
257,25,0,13,3,3
258,25,2,14,2,3
259,23,1,15,3,3
260,22,0,16,3,3
261,22,0,17,3,3
262,22,0,18,3,3
263,22,0,19,3,3
264,22,0,20,3,3
265,22,0,21,3,3
266,22,2,22,3,3
267,20,0,23,6,3
268,20,0,24,6,3
269,20,0,25,6,3
