itin,ttdate,pc2,pc1,occ,cap
4804,-47,-.050000001,0,15,40
4946,-58,-.07692308,-.07692308,10,26
7340,-9,0,.12244898,23,49
3985,-46,0,.050000001,5,40
4229,-10,.075000003,.125,20,40
8634,-49,.03846154,.03846154,4,26
10257,-42,-.03846154,-.03846154,22,52
7035,-51,.03846154,.03846154,4,26
3044,-18,0,.055555556,31,36
10221,-49,0,0,27,52
4259,-5,.075000003,.075000003,23,40
6335,-43,-.02,-.02,15,50
2618,-54,.050000001,.050000001,3,40
3028,-53,0,.055555556,0,36
1814,-42,-.02,-.02,31,50
10135,-60,-.050000001,0,1,40
7768,-28,.15384616,.15384616,33,52
5746,-16,.15000001,.175,30,40
6711,-32,0,.025,16,40
3932,-33,-.025,.025,10,40
2976,-42,-.055555556,0,14,36
7860,0,.07692308,.07692308,22,26
5199,-60,-.033333335,0,5,30
3512,-22,0,0,39,52
977,-27,-.051282052,-.051282052,21,39
63,-48,-.07692308,-.07692308,12,26
1370,-14,-.0625,-.0625,7,16
9559,-3,-.01923077,-.01923077,49,52
3202,-44,.033333335,.033333335,13,30
2921,-16,.055555556,.11111111,16,36
10248,-37,.01923077,.01923077,23,52
8501,-18,-.07692308,-.07692308,10,26
2897,-35,-.055555556,0,7,36
7098,-18,.079999998,.079999998,30,50
8887,-35,.1,.1,12,50
9975,-30,-.01923077,-.01923077,28,52
8643,-55,-.07692308,-.07692308,2,26
155,-15,0,0,23,26
5142,-21,.039999999,.039999999,33,50
1681,-46,.079999998,.059999999,16,50
4383,-2,.025,.025,38,40
1587,-59,-.02,-.02,9,50
7652,-41,.025,.075000003,13,40
10312,-18,-.050000001,0,14,40
3649,-43,.20408164,.32653061,12,49
8443,-17,0,0,13,26
10358,-21,.13461539,.13461539,40,52
2669,-2,0,0,5,40
2390,-25,.050000001,.050000001,27,40
5422,-48,.1,.1,17,30
5040,-3,0,0,24,30
9947,-21,.03846154,.03846154,26,52
7323,-9,-.06122449,.06122449,24,49
9735,-24,.01923077,.01923077,16,52
861,-27,.025,.075000003,0,40
2860,-3,.025,.075000003,26,40
3904,-44,.033333335,.033333335,11,30
7188,-21,-.055555556,0,8,36
2189,-1,.025,.025,35,40
1939,-51,.1,.1,19,50
10719,-31,-.03846154,-.03846154,14,26
3047,-23,-.055555556,0,13,36
7166,-9,-.055555556,0,32,36
2381,-3,0,0,28,40
5829,-3,.050000001,.1,35,40
9119,-5,.13461539,.13461539,41,52
1479,-25,.1875,.125,1,16
3542,-56,-.025,.025,14,40
8882,-33,.02,.02,9,50
2243,-25,.050000001,.050000001,14,40
5258,-47,.079999998,.079999998,15,50
4311,-51,.050000001,.050000001,10,40
8131,-57,.025,.025,9,40
10232,-1,0,0,41,52
6075,-41,-.0625,-.125,3,16
8820,-11,.125,.175,29,40
5529,-38,-.03846154,-.03846154,18,52
10472,-47,.01923077,.01923077,5,52
7789,-10,-.07692308,-.07692308,10,26
5370,-50,-.01923077,-.01923077,22,52
4636,-60,0,0,8,40
811,-51,-.025,.025,1,40
5996,-41,0,-.0625,4,16
2905,-52,-.055555556,0,9,36
1195,-46,0,0,9,30
1899,-35,-.02,-.02,25,50
8559,-23,0,.050000001,16,40
682,-47,.02,.02,17,50
8720,-3,.125,.175,30,40
1193,-29,.06666667,.06666667,12,30
4795,-10,-.025,.025,33,40
1890,-36,.12,.12,26,50
3927,-12,.25,.30000001,26,40
4119,-11,.050000001,.050000001,31,40
5776,-50,.1,.15000001,12,40
4734,-45,.13333334,.1,2,30
10357,-43,-.01923077,-.01923077,35,52
5110,-54,.1,.1,7,30
9587,-45,-.01923077,-.01923077,20,52
6242,-28,-.050000001,0,5,40
5999,-57,0,-.0625,5,16
7424,-20,-.025,.025,27,40
5185,-21,-.033333335,0,15,30
2459,-22,.025,.025,19,40
10557,-38,.07692308,.07692308,24,52
10789,-45,-.03846154,-.03846154,11,26
3166,-9,.1,.1,25,30
608,-54,-.07692308,-.07692308,9,26
9479,-37,-.10204082,.020408163,9,49
10110,-50,0,.050000001,1,40
2471,-11,.125,.125,23,40
664,-7,.23999999,.23999999,33,50
6464,-32,-.07692308,-.07692308,14,26
9677,-57,-.01923077,-.01923077,15,52
4239,-32,.075000003,.075000003,5,40
6300,-58,0,.050000001,11,40
4433,-28,.050000001,.1,10,40
10159,-27,.1923077,.1923077,25,52
9026,-5,.025,.075000003,30,40
8059,-1,.125,.125,26,40
4989,-50,-.051282052,-.051282052,7,39
10664,0,-.02,-.02,44,50
9788,-40,-.050000001,0,11,40
5499,-31,-.025,.025,10,40
1451,-18,.0625,.0625,6,16
778,-46,-.050000001,0,0,40
2210,-19,.15000001,.15000001,19,40
3040,-49,-.055555556,0,2,36
1910,-49,.039999999,.039999999,23,50
8687,-14,0,.050000001,30,40
4792,-37,-.025,.025,12,40
3460,-46,.01923077,.01923077,25,52
5613,-47,-.025,.025,1,40
8026,-16,.175,.175,27,40
5072,-40,.06666667,.06666667,14,30
2939,-5,0,.055555556,29,36
3515,-46,0,.050000001,6,40
76,-19,-.025641026,-.025641026,16,39
1284,-44,.059999999,.039999999,16,50
2310,-13,.2,.2,21,40
4879,-30,.175,.22499999,18,40
7332,-12,-.081632651,.040816326,20,49
7917,-29,0,0,11,26
9570,-47,.03846154,.03846154,23,52
4624,-49,.050000001,.050000001,9,40
4957,-45,-.03846154,-.03846154,10,26
3961,-41,-.025,.025,4,40
10162,-50,-.01923077,-.01923077,15,52
9362,-29,.050000001,.1,27,40
8471,-26,-.03846154,-.03846154,9,26
3502,-32,0,0,30,52
