,seats,difS,tdate,fareI,dd_dow
0,73,3,0,3,4
1,70,0,1,3,4
2,70,0,2,4,4
3,70,0,3,4,4
4,70,0,4,4,4
5,70,0,5,2,4
6,70,2,6,2,4
7,68,1,7,4,4
8,67,0,8,4,4
9,67,0,9,4,4
10,67,0,10,2,4
11,67,0,11,2,4
12,67,3,12,2,4
13,64,0,13,2,4
14,64,3,14,2,4
15,61,5,15,2,4
16,56,2,16,2,4
17,54,2,17,2,4
18,52,0,18,3,4
19,52,0,19,4,4
20,52,0,20,2,4
21,52,2,21,2,4
22,50,5,22,2,4
23,45,0,23,4,4
24,45,4,24,2,4
25,41,0,25,4,4
26,42,0,26,4,4
27,42,1,27,4,4
29,31,1,29,4,4
30,30,2,30,4,4
31,28,0,31,4,4
32,28,1,32,4,4
33,27,0,33,4,4
34,27,0,34,4,4
35,27,0,35,4,4
36,27,2,36,3,4
37,25,0,37,4,4
38,25,0,38,4,4
39,25,1,39,4,4
40,24,0,40,4,4
41,24,1,41,0,4
42,23,2,42,0,4
43,21,4,43,0,4
44,17,1,44,3,4
45,16,3,45,4,4
46,13,1,46,5,4
47,12,0,47,5,4
48,12,0,48,5,4
49,12,0,49,5,4
50,13,0,50,5,4
51,13,0,51,5,4
52,13,0,52,5,4
53,13,1,53,5,4
54,12,0,54,5,4
55,14,0,55,5,4
56,14,2,56,5,4
57,12,0,57,6,4
58,12,0,58,6,4
59,12,0,59,6,4
61,73,3,0,2,4
62,70,2,1,2,4
63,68,0,2,2,4
64,68,1,3,2,4
65,67,0,4,2,4
66,67,0,5,2,4
67,67,0,6,2,4
68,67,2,7,2,4
69,65,1,8,2,4
70,64,0,9,2,4
71,64,5,10,2,4
72,59,0,11,2,4
73,59,7,12,2,4
74,52,0,13,2,4
75,52,3,14,2,4
76,49,0,15,2,4
77,49,3,16,2,4
78,46,1,17,2,4
79,45,0,18,2,4
80,45,0,19,2,4
81,45,2,20,2,4
82,43,2,21,2,4
83,41,3,22,2,4
84,38,2,23,2,4
85,36,2,24,2,4
86,34,3,25,2,4
87,31,0,26,2,4
88,31,0,27,2,4
89,31,0,28,2,4
90,31,2,29,2,4
91,29,3,30,2,4
92,26,1,31,2,4
93,25,4,32,2,4
94,21,0,33,2,4
95,21,0,34,2,4
96,22,5,35,2,4
97,17,2,36,2,4
98,15,0,37,2,4
99,15,1,38,0,4
100,14,2,39,2,4
101,12,2,40,0,4
102,10,0,41,3,4
103,10,0,42,0,4
104,10,0,43,0,4
105,10,3,44,2,4
106,7,0,45,3,4
107,7,1,46,4,4
108,6,1,47,4,4
109,5,0,48,4,4
110,5,1,49,4,4
111,4,2,50,4,4
112,2,1,51,4,4
113,1,1,52,4,4
116,1,0,55,5,4
117,2,0,56,5,4
118,4,4,57,6,4
120,6,1,59,6,4
122,68,0,0,2,3
123,68,2,1,2,3
124,66,3,2,2,3
125,63,6,3,2,3
126,57,0,4,3,3
127,57,0,5,3,3
128,57,0,6,3,3
129,57,0,7,3,3
130,57,0,8,3,3
131,57,3,9,3,3
132,54,2,10,2,3
133,52,0,11,2,3
134,52,1,12,3,3
135,51,1,13,2,3
136,50,0,14,2,3
137,50,3,15,2,3
138,47,4,16,2,3
139,43,1,17,3,3
140,42,1,18,3,3
141,41,3,19,3,3
142,38,0,20,3,3
143,38,0,21,3,3
144,38,5,22,3,3
145,33,0,23,3,3
146,33,4,24,4,3
147,29,0,25,4,3
148,29,0,26,4,3
149,29,1,27,4,3
150,28,0,28,4,3
151,28,0,29,4,3
152,28,4,30,3,3
153,24,2,31,4,3
154,22,1,32,4,3
155,21,0,33,4,3
156,21,0,34,4,3
157,21,0,35,4,3
158,21,0,36,4,3
159,21,1,37,4,3
160,20,6,38,0,3
161,14,3,39,4,3
162,11,0,40,4,3
163,14,4,41,4,3
164,10,1,42,4,3
165,9,1,43,4,3
166,8,0,44,4,3
167,9,3,45,4,3
168,6,2,46,5,3
169,4,2,47,5,3
170,2,0,48,5,3
171,2,0,49,5,3
172,2,1,50,4,3
173,1,1,51,4,3
175,1,0,53,5,3
176,1,0,54,5,3
177,1,0,55,5,3
178,2,2,56,5,3
180,4,4,58,6,3
183,72,0,0,2,3
184,72,1,1,2,3
185,71,4,2,2,3
186,67,2,3,2,3
187,65,1,4,2,3
188,64,0,5,2,3
189,64,0,6,2,3
190,64,0,7,2,3
191,64,1,8,2,3
192,63,2,9,2,3
193,61,0,10,2,3
194,61,0,11,2,3
195,61,2,12,2,3
196,59,1,13,2,3
197,58,0,14,2,3
198,58,2,15,2,3
199,56,0,16,2,3
200,56,1,17,2,3
201,55,1,18,2,3
202,54,4,19,2,3
203,50,6,20,2,3
204,44,2,21,2,3
205,42,0,22,3,3
206,42,3,23,3,3
207,39,1,24,3,3
208,38,0,25,3,3
209,38,1,26,3,3
210,37,0,27,2,3
211,37,0,28,2,3
212,37,0,29,2,3
213,37,3,30,2,3
214,34,4,31,2,3
215,30,2,32,3,3
216,28,0,33,3,3
217,30,0,34,3,3
218,30,0,35,3,3
219,30,6,36,2,3
220,24,5,37,3,3
221,19,0,38,3,3
222,20,1,39,3,3
223,19,0,40,3,3
224,19,0,41,3,3
225,19,0,42,3,3
226,19,1,43,3,3
227,18,0,44,3,3
228,18,0,45,3,3
229,18,1,46,4,3
230,17,0,47,4,3
231,17,0,48,4,3
232,17,1,49,4,3
233,16,2,50,4,3
234,14,0,51,4,3
235,14,1,52,4,3
236,13,5,53,4,3
237,8,0,54,5,3
238,9,0,55,5,3
239,9,0,56,6,3
240,9,0,57,6,3
241,10,0,58,6,3
242,10,1,59,6,3
244,68,0,0,3,2
245,68,0,1,3,2
246,68,3,2,3,2
247,65,1,3,3,2
248,64,1,4,4,2
249,63,1,5,4,2
250,62,0,6,4,2
251,62,0,7,4,2
252,62,0,8,4,2
253,62,5,9,4,2
254,57,0,10,4,2
255,60,0,11,4,2
256,60,2,12,3,2
257,58,3,13,3,2
258,55,0,14,3,2
259,57,0,15,3,2
260,57,3,16,3,2
261,54,1,17,3,2
262,53,1,18,4,2
263,52,0,19,4,2
264,52,0,20,4,2
265,52,1,21,4,2
266,51,0,22,4,2
267,51,2,23,4,2
268,49,0,24,4,2
269,49,5,25,4,2
270,44,1,26,5,2
271,43,1,27,5,2
272,42,1,28,5,2
273,41,0,29,5,2
274,41,0,30,5,2
275,42,4,31,5,2
276,38,0,32,5,2
277,38,1,33,5,2
278,37,1,34,5,2
279,36,0,35,5,2
280,36,0,36,1,2
281,36,1,37,3,2
282,35,2,38,1,2
283,33,2,39,3,2
284,31,1,40,5,2
285,30,2,41,5,2
286,28,0,42,6,2
287,28,0,43,3,2
288,28,4,44,3,2
289,24,6,45,3,2
290,18,0,46,6,2
291,19,1,47,6,2
292,18,0,48,6,2
293,19,0,49,5,2
294,19,0,50,5,2
295,19,3,51,5,2
296,16,1,52,6,2
297,15,0,53,4,2
298,15,2,54,5,2
299,13,0,55,5,2
300,16,0,56,6,2
301,17,1,57,6,2
302,16,0,58,6,2
303,16,4,59,6,2
305,64,0,0,1,2
306,64,2,1,1,2
307,62,2,2,1,2
308,60,0,3,1,2
309,60,4,4,1,2
310,56,1,5,1,2
311,55,5,6,2,2
312,50,0,7,2,2
313,50,0,8,2,2
314,50,4,9,2,2
315,46,0,10,2,2
316,46,0,11,2,2
317,46,0,12,2,2
318,46,0,13,2,2
319,46,0,14,2,2
320,46,0,15,2,2
321,46,2,16,3,2
322,44,1,17,3,2
323,43,1,18,1,2
324,42,0,19,3,2
325,42,0,20,3,2
326,43,2,21,1,2
327,41,3,22,3,2
328,38,0,23,3,2
329,38,1,24,3,2
330,37,2,25,3,2
331,35,0,26,3,2
332,35,0,27,3,2
333,35,1,28,3,2
334,34,0,29,3,2
335,35,1,30,1,2
336,34,2,31,1,2
337,32,3,32,1,2
338,29,2,33,3,2
339,27,2,34,3,2
340,25,0,35,3,2
341,25,1,36,1,2
342,24,0,37,1,2
343,24,2,38,1,2
344,22,1,39,0,2
345,21,0,40,3,2
346,21,3,41,0,2
347,18,0,42,3,2
348,18,0,43,3,2
349,18,2,44,3,2
350,16,0,45,3,2
351,17,1,46,4,2
352,16,1,47,4,2
353,15,1,48,4,2
354,14,0,49,4,2
355,14,0,50,4,2
356,14,0,51,4,2
357,15,2,52,4,2
358,13,2,53,4,2
359,11,1,54,5,2
360,10,0,55,5,2
361,10,0,56,5,2
362,10,0,57,6,2
363,11,1,58,6,2
364,10,3,59,6,2
366,54,0,0,1,1
367,54,1,1,1,1
368,53,1,2,1,1
369,52,1,3,1,1
370,51,0,4,2,1
371,51,8,5,2,1
372,43,1,6,3,1
373,42,0,7,3,1
374,43,0,8,3,1
375,43,3,9,3,1
376,40,2,10,3,1
377,38,0,11,4,1
378,38,0,12,4,1
379,38,0,13,2,1
380,38,1,14,2,1
381,37,0,15,2,1
382,37,3,16,2,1
383,34,0,17,3,1
384,34,0,18,4,1
385,34,0,19,4,1
386,34,0,20,4,1
387,34,1,21,4,1
388,33,0,22,4,1
389,33,1,23,1,1
390,32,4,24,1,1
391,28,3,25,1,1
392,25,0,26,4,1
393,25,2,27,4,1
394,23,0,28,4,1
395,23,0,29,1,1
396,23,4,30,1,1
397,19,4,31,1,1
398,15,1,32,4,1
399,14,0,33,4,1
400,15,1,34,4,1
401,14,0,35,4,1
402,14,0,36,4,1
403,14,0,37,4,1
404,14,0,38,4,1
405,14,1,39,4,1
406,13,1,40,4,1
407,12,2,41,0,1
408,10,0,42,0,1
409,11,0,43,0,1
410,11,0,44,0,1
411,11,5,45,0,1
412,6,1,46,4,1
413,5,0,47,4,1
414,5,0,48,4,1
415,5,0,49,4,1
416,5,0,50,4,1
417,5,0,51,4,1
418,5,0,52,4,1
419,10,5,53,4,1
420,5,0,54,5,1
421,5,3,55,5,1
422,2,0,56,5,1
423,3,0,57,6,1
424,4,0,58,6,1
425,4,0,59,6,1
427,77,0,0,1,1
428,77,0,1,1,1
429,77,0,2,1,1
430,77,1,3,1,1
431,76,0,4,1,1
432,76,4,5,1,1
433,72,2,6,1,1
434,70,6,7,1,1
435,64,0,8,1,1
436,64,0,9,1,1
437,64,2,10,1,1
438,62,0,11,1,1
439,62,0,12,1,1
440,62,3,13,1,1
441,59,0,14,1,1
442,59,0,15,1,1
443,59,3,16,1,1
444,56,0,17,1,1
445,56,1,18,1,1
446,55,2,19,1,1
447,53,1,20,1,1
448,52,3,21,1,1
449,49,2,22,1,1
450,47,0,23,1,1
451,47,0,24,1,1
452,47,2,25,1,1
453,45,1,26,1,1
454,44,5,27,1,1
455,39,2,28,1,1
456,37,1,29,1,1
457,36,0,30,1,1
458,36,2,31,1,1
459,34,7,32,1,1
460,27,4,33,1,1
461,23,2,34,1,1
462,21,1,35,1,1
463,20,5,36,1,1
464,15,0,37,1,1
465,15,3,38,1,1
466,12,1,39,2,1
467,11,2,40,1,1
468,9,0,41,1,1
469,10,2,42,1,1
470,8,0,43,1,1
471,8,0,44,1,1
472,8,0,45,1,1
473,8,3,46,4,1
474,5,1,47,4,1
475,4,0,48,4,1
476,4,0,49,4,1
477,4,0,50,4,1
478,4,0,51,4,1
479,4,2,52,4,1
480,2,0,53,4,1
481,2,0,54,5,1
482,5,2,55,5,1
483,3,0,56,5,1
484,3,0,57,6,1
485,3,0,58,6,1
486,4,2,59,6,1
488,64,0,0,3,0
489,64,0,1,3,0
490,64,0,2,2,0
491,64,0,3,2,0
492,64,3,4,2,0
493,61,0,5,2,0
494,61,0,6,2,0
495,61,0,7,2,0
496,61,2,8,2,0
497,59,2,9,2,0
498,57,2,10,2,0
499,55,0,11,2,0
500,55,1,12,3,0
501,54,0,13,2,0
502,54,0,14,2,0
503,54,0,15,2,0
504,54,0,16,2,0
505,54,0,17,2,0
506,54,1,18,2,0
507,53,4,19,2,0
508,49,1,20,2,0
509,48,4,21,2,0
510,44,0,22,2,0
511,44,1,23,2,0
512,43,2,24,2,0
513,41,0,25,2,0
514,41,1,26,2,0
515,40,0,27,2,0
516,40,0,28,2,0
517,40,0,29,2,0
518,40,1,30,2,0
519,39,0,31,2,0
520,39,6,32,2,0
521,33,2,33,2,0
522,31,0,34,2,0
523,31,0,35,2,0
524,31,1,36,2,0
525,30,0,37,2,0
526,30,0,38,2,0
527,30,0,39,2,0
528,30,3,40,2,0
529,27,5,41,0,0
530,22,4,42,0,0
531,18,3,43,0,0
532,15,0,44,0,0
533,15,1,45,3,0
534,14,0,46,3,0
536,2,0,48,4,0
537,5,2,49,5,0
538,3,2,50,4,0
539,1,0,51,4,0
540,2,0,52,4,0
541,2,2,53,4,0
545,4,1,57,6,0
546,3,0,58,6,0
547,3,0,59,6,0
549,81,2,0,2,0
550,79,3,1,2,0
551,76,0,2,2,0
552,76,0,3,2,0
553,76,0,4,2,0
554,76,1,5,2,0
555,75,0,6,2,0
556,75,0,7,2,0
557,75,0,8,2,0
558,75,0,9,2,0
559,75,0,10,2,0
560,75,0,11,2,0
561,75,0,12,2,0
562,75,3,13,2,0
563,72,0,14,2,0
564,72,0,15,2,0
565,72,0,16,2,0
566,72,0,17,2,0
567,72,0,18,2,0
568,72,0,19,2,0
569,72,0,20,2,0
570,73,0,21,2,0
571,73,1,22,2,0
572,72,1,23,2,0
573,71,1,24,2,0
574,70,0,25,2,0
575,70,2,26,2,0
576,68,3,27,2,0
577,65,0,28,2,0
578,65,1,29,2,0
579,64,0,30,2,0
580,64,0,31,2,0
581,64,0,32,2,0
582,64,2,33,2,0
583,62,6,34,2,0
584,56,1,35,2,0
585,55,1,36,2,0
586,54,0,37,2,0
587,54,5,38,2,0
588,49,3,39,2,0
589,46,2,40,2,0
590,44,5,41,0,0
592,26,5,43,0,0
594,9,0,45,0,0
595,9,6,46,0,0
596,3,0,47,4,0
597,3,0,48,4,0
598,3,0,49,4,0
599,5,0,50,4,0
600,5,2,51,4,0
601,3,0,52,4,0
602,8,5,53,4,0
603,3,0,54,5,0
604,3,0,55,5,0
605,4,0,56,5,0
606,5,0,57,5,0
607,5,0,58,6,0
608,5,0,59,6,0
610,66,0,0,4,6
611,66,1,1,4,6
612,65,0,2,4,6
613,65,0,3,4,6
614,65,0,4,4,6
615,65,0,5,4,6
616,65,0,6,4,6
617,65,0,7,4,6
618,67,1,8,4,6
619,66,0,9,4,6
620,66,0,10,2,6
621,66,2,11,2,6
622,64,0,12,2,6
623,64,2,13,2,6
624,62,0,14,2,6
625,62,0,15,2,6
626,62,1,16,2,6
627,61,0,17,2,6
628,61,0,18,2,6
629,61,0,19,2,6
630,61,1,20,2,6
631,60,3,21,2,6
632,57,1,22,2,6
633,56,4,23,2,6
634,52,3,24,2,6
635,49,3,25,2,6
636,46,1,26,2,6
637,45,2,27,2,6
638,43,4,28,2,6
639,39,2,29,2,6
640,37,0,30,2,6
641,37,3,31,2,6
642,34,4,32,2,6
643,30,1,33,3,6
644,29,0,34,4,6
645,29,1,35,4,6
646,28,2,36,3,6
647,26,0,37,4,6
648,26,0,38,4,6
649,26,2,39,3,6
650,24,4,40,2,6
651,20,3,41,4,6
652,17,2,42,4,6
653,15,0,43,5,6
654,15,0,44,5,6
655,16,0,45,5,6
656,16,0,46,5,6
657,16,1,47,5,6
658,15,1,48,5,6
659,14,1,49,5,6
660,13,1,50,4,6
661,12,1,51,4,6
662,11,0,52,4,6
663,11,1,53,4,6
664,10,4,54,5,6
665,6,0,55,5,6
666,11,0,56,5,6
667,11,0,57,6,6
668,11,3,58,6,6
669,8,0,59,6,6
671,65,1,0,2,6
672,64,1,1,2,6
673,63,2,2,2,6
674,61,0,3,2,6
675,61,1,4,2,6
676,60,2,5,2,6
677,58,0,6,2,6
678,58,1,7,2,6
679,57,1,8,2,6
680,56,0,9,2,6
681,56,1,10,2,6
682,55,0,11,2,6
683,56,0,12,2,6
684,56,1,13,2,6
685,55,0,14,2,6
686,55,0,15,2,6
687,55,0,16,2,6
688,55,2,17,2,6
689,53,0,18,2,6
690,53,0,19,2,6
691,53,1,20,2,6
692,52,2,21,2,6
693,50,1,22,2,6
694,49,2,23,2,6
695,47,3,24,2,6
696,44,0,25,2,6
697,44,1,26,2,6
698,43,0,27,2,6
699,43,0,28,2,6
700,43,2,29,2,6
701,41,1,30,2,6
702,40,1,31,2,6
703,39,2,32,2,6
704,37,1,33,2,6
705,36,4,34,2,6
706,32,2,35,2,6
707,30,0,36,2,6
708,30,0,37,2,6
709,30,2,38,2,6
710,28,0,39,2,6
711,29,2,40,2,6
712,27,4,41,2,6
713,23,1,42,2,6
714,22,3,43,2,6
715,19,3,44,2,6
716,16,0,45,3,6
717,16,0,46,4,6
718,16,1,47,4,6
719,15,3,48,4,6
720,12,0,49,4,6
721,12,1,50,4,6
722,11,0,51,4,6
723,11,0,52,4,6
724,11,0,53,4,6
725,11,2,54,5,6
726,9,0,55,5,6
727,9,0,56,5,6
728,9,1,57,6,6
729,8,1,58,6,6
730,7,1,59,6,6
732,59,1,0,4,5
733,58,0,1,4,5
734,58,0,2,4,5
735,58,0,3,4,5
736,58,0,4,4,5
737,58,0,5,1,5
738,58,1,6,1,5
739,57,4,7,1,5
740,53,2,8,2,5
741,51,0,9,2,5
742,51,0,10,4,5
743,51,0,11,4,5
744,51,0,12,4,5
745,51,0,13,2,5
746,51,0,14,1,5
747,51,0,15,2,5
748,51,2,16,3,5
749,49,1,17,1,5
750,48,0,18,3,5
751,48,1,19,1,5
752,47,1,20,3,5
753,46,4,21,3,5
754,42,0,22,1,5
755,42,0,23,3,5
756,42,0,24,1,5
757,42,0,25,1,5
758,42,3,26,1,5
759,39,4,27,3,5
760,35,1,28,1,5
761,34,1,29,1,5
762,33,0,30,1,5
763,33,1,31,1,5
764,32,1,32,3,5
765,31,1,33,1,5
766,30,3,34,1,5
767,27,4,35,1,5
768,23,2,36,3,5
769,21,1,37,1,5
770,20,0,38,1,5
771,20,0,39,1,5
772,20,4,40,1,5
773,16,2,41,1,5
774,14,2,42,4,5
775,12,2,43,4,5
776,10,0,44,1,5
777,10,0,45,4,5
778,10,1,46,4,5
779,9,0,47,4,5
780,10,0,48,4,5
781,10,1,49,4,5
782,9,5,50,4,5
783,4,0,51,4,5
784,5,1,52,4,5
785,4,0,53,4,5
786,4,0,54,5,5
787,4,0,55,5,5
788,4,0,56,5,5
789,9,1,57,6,5
790,8,1,58,6,5
791,7,0,59,6,5
793,58,1,0,1,5
794,57,1,1,1,5
795,56,0,2,1,5
796,56,0,3,1,5
797,56,0,4,1,5
798,56,0,5,3,5
799,56,0,6,1,5
800,56,1,7,1,5
801,55,0,8,1,5
802,55,0,9,1,5
803,55,2,10,1,5
804,53,0,11,1,5
805,53,0,12,1,5
806,53,2,13,1,5
807,51,1,14,1,5
808,50,0,15,1,5
809,50,0,16,1,5
810,50,0,17,1,5
811,50,0,18,1,5
812,50,5,19,1,5
813,45,3,20,1,5
814,42,0,21,1,5
815,42,0,22,1,5
816,42,6,23,1,5
817,36,3,24,1,5
818,33,0,25,3,5
819,36,0,26,3,5
820,36,1,27,1,5
821,35,0,28,1,5
822,35,3,29,1,5
823,32,4,30,1,5
824,28,0,31,3,5
825,29,3,32,1,5
826,26,1,33,1,5
827,25,3,34,1,5
829,13,1,36,3,5
830,12,0,37,3,5
831,13,1,38,3,5
832,12,1,39,3,5
833,11,0,40,3,5
834,11,3,41,1,5
835,8,0,42,3,5
836,8,0,43,1,5
837,8,0,44,3,5
838,8,0,45,3,5
839,8,0,46,3,5
840,8,0,47,4,5
841,8,1,48,4,5
842,7,1,49,4,5
843,6,0,50,4,5
844,6,0,51,4,5
845,6,0,52,4,5
846,6,1,53,4,5
847,5,0,54,5,5
848,6,0,55,5,5
849,7,0,56,5,5
850,7,0,57,5,5
851,12,0,58,6,5
852,15,1,59,6,5
854,69,0,0,3,4
855,69,0,1,2,4
856,69,1,2,2,4
857,68,1,3,2,4
858,67,0,4,2,4
859,67,0,5,2,4
860,67,2,6,2,4
861,65,0,7,2,4
862,65,0,8,2,4
863,65,0,9,2,4
864,65,1,10,2,4
865,64,0,11,2,4
866,64,8,12,2,4
867,56,0,13,2,4
868,56,4,14,2,4
869,52,0,15,3,4
870,52,0,16,3,4
871,52,2,17,2,4
872,50,0,18,2,4
873,50,3,19,2,4
874,47,0,20,2,4
875,47,1,21,2,4
876,46,0,22,2,4
877,46,1,23,2,4
878,45,1,24,2,4
880,35,0,26,3,4
881,35,0,27,3,4
882,35,1,28,3,4
883,34,5,29,2,4
884,29,1,30,3,4
885,28,1,31,3,4
886,27,2,32,3,4
887,25,0,33,3,4
888,25,0,34,3,4
889,25,3,35,3,4
890,22,1,36,4,4
891,21,3,37,4,4
892,18,3,38,4,4
893,15,0,39,4,4
894,15,0,40,4,4
895,15,0,41,4,4
896,15,1,42,4,4
897,14,0,43,4,4
898,14,2,44,4,4
899,12,2,45,4,4
900,10,0,46,5,4
901,10,0,47,5,4
902,10,0,48,5,4
903,10,6,49,5,4
904,4,0,50,6,4
905,5,0,51,5,4
906,8,4,52,5,4
907,4,2,53,5,4
908,2,0,54,5,4
909,2,0,55,5,4
910,2,0,56,5,4
911,2,0,57,6,4
912,4,0,58,6,4
913,4,0,59,6,4
915,66,0,0,2,4
916,68,0,1,2,4
917,68,0,2,2,4
918,68,0,3,2,4
919,68,0,4,2,4
920,68,0,5,2,4
921,68,0,6,2,4
922,68,0,7,2,4
923,68,0,8,2,4
924,68,1,9,2,4
925,67,1,10,2,4
926,66,3,11,2,4
927,63,0,12,2,4
928,63,1,13,2,4
929,62,0,14,2,4
930,62,0,15,2,4
