,seats,difS,tdate,fareI,dd_dow
0,58,0,0,1,5
1,58,0,1,1,5
2,58,0,2,1,5
3,58,1,3,1,5
4,57,1,4,1,5
5,56,0,5,1,5
6,56,0,6,1,5
7,56,2,7,1,5
8,54,0,8,1,5
9,54,0,9,1,5
10,54,0,10,1,5
11,54,1,11,1,5
12,53,3,12,1,5
13,50,2,13,1,5
14,48,0,14,1,5
15,48,0,15,1,5
16,48,0,16,1,5
17,48,0,17,1,5
18,48,0,18,1,5
19,48,0,19,1,5
20,48,7,20,1,5
21,41,0,21,1,5
22,41,0,22,1,5
23,41,0,23,1,5
24,41,1,24,1,5
25,40,0,25,1,5
26,40,2,26,1,5
27,38,3,27,1,5
28,35,2,28,1,5
29,33,1,29,1,5
30,32,0,30,1,5
31,32,1,31,1,5
32,31,2,32,1,5
33,29,0,33,1,5
34,29,1,34,1,5
35,28,1,35,1,5
36,27,1,36,3,5
37,26,1,37,2,5
38,25,0,38,3,5
39,25,0,39,3,5
40,26,0,40,3,5
41,26,0,41,3,5
42,26,6,42,3,5
43,20,0,43,3,5
44,24,0,44,3,5
45,24,1,45,3,5
46,23,0,46,3,5
47,23,0,47,3,5
48,23,1,48,3,5
49,22,11,49,4,5
50,11,0,50,4,5
51,11,0,51,4,5
52,11,0,52,4,5
53,11,0,53,4,5
54,11,0,54,4,5
55,11,3,55,4,5
56,8,0,56,5,5
57,8,0,57,5,5
58,8,0,58,5,5
59,8,0,59,5,5
61,50,3,0,1,4
62,47,0,1,1,4
63,47,0,2,1,4
64,47,0,3,1,4
65,47,0,4,1,4
66,47,0,5,1,4
67,47,0,6,1,4
68,47,0,7,1,4
69,47,0,8,1,4
70,47,3,9,1,4
71,44,0,10,1,4
72,47,0,11,1,4
73,47,0,12,1,4
74,47,2,13,1,4
75,45,0,14,1,4
76,45,0,15,1,4
77,45,0,16,1,4
78,45,0,17,1,4
79,45,0,18,1,4
80,45,0,19,1,4
81,45,0,20,1,4
82,45,7,21,1,4
83,38,0,22,1,4
84,38,0,23,1,4
85,38,2,24,1,4
86,36,0,25,1,4
87,36,1,26,1,4
88,35,0,27,1,4
89,35,3,28,1,4
90,32,2,29,1,4
91,30,1,30,1,4
92,29,0,31,1,4
93,29,3,32,1,4
94,26,1,33,1,4
95,25,2,34,1,4
96,23,1,35,1,4
97,22,2,36,1,4
98,20,0,37,1,4
99,20,0,38,1,4
100,20,0,39,2,4
101,20,9,40,2,4
102,11,0,41,4,4
103,17,7,42,4,4
104,10,0,43,4,4
105,10,0,44,4,4
106,10,0,45,4,4
107,10,0,46,4,4
108,10,0,47,4,4
109,10,0,48,4,4
110,10,2,49,4,4
111,8,0,50,5,4
112,8,0,51,4,4
113,8,0,52,4,4
114,8,0,53,4,4
115,8,0,54,4,4
116,8,0,55,4,4
117,8,5,56,4,4
118,3,0,57,5,4
119,3,0,58,5,4
120,4,1,59,5,4
122,70,0,0,1,4
123,70,0,1,1,4
124,70,0,2,1,4
125,70,0,3,1,4
126,70,0,4,1,4
127,70,0,5,1,4
128,70,0,6,1,4
129,70,1,7,1,4
130,69,0,8,1,4
131,69,0,9,1,4
132,69,2,10,1,4
133,67,0,11,1,4
134,67,0,12,1,4
135,67,1,13,1,4
136,66,2,14,1,4
137,64,0,15,1,4
138,64,0,16,1,4
139,64,0,17,1,4
140,64,0,18,1,4
141,64,0,19,1,4
142,64,0,20,1,4
143,64,8,21,1,4
144,56,1,22,1,4
145,55,0,23,1,4
146,55,0,24,1,4
147,55,0,25,1,4
148,55,0,26,1,4
149,55,0,27,1,4
150,55,2,28,1,4
151,53,0,29,1,4
152,53,4,30,1,4
153,49,0,31,1,4
154,49,0,32,1,4
155,49,0,33,1,4
156,51,0,34,1,4
157,51,1,35,1,4
158,50,4,36,1,4
159,46,3,37,1,4
160,43,0,38,1,4
161,43,0,39,1,4
162,43,2,40,1,4
163,41,1,41,3,4
164,40,3,42,3,4
165,37,1,43,3,4
166,36,0,44,3,4
167,36,0,45,3,4
168,36,2,46,3,4
169,34,0,47,3,4
170,34,0,48,4,4
