,seats,difS,tdate,fareI,dd_dow
0,50,4,0,2,5
1,46,0,1,2,5
2,46,1,2,2,5
3,45,0,3,2,5
4,45,0,4,2,5
5,45,0,5,2,5
6,45,1,6,2,5
7,44,0,7,2,5
8,44,2,8,2,5
9,42,0,9,2,5
10,42,0,10,2,5
11,42,0,11,2,5
12,42,0,12,2,5
13,42,0,13,2,5
14,42,0,14,2,5
15,42,0,15,2,5
16,42,0,16,2,5
17,42,0,17,2,5
18,42,0,18,2,5
19,42,0,19,2,5
20,42,7,20,2,5
21,35,2,21,1,5
22,33,0,22,1,5
23,33,1,23,1,5
24,32,0,24,1,5
25,32,0,25,1,5
26,32,0,26,1,5
27,32,1,27,1,5
28,31,3,28,1,5
29,28,0,29,1,5
30,28,0,30,1,5
31,28,0,31,1,5
32,28,1,32,1,5
33,27,0,33,1,5
34,27,1,34,1,5
35,26,0,35,1,5
36,26,1,36,1,5
37,25,1,37,1,5
38,24,0,38,1,5
39,24,0,39,1,5
40,24,0,40,1,5
41,24,1,41,1,5
42,23,0,42,1,5
43,23,0,43,1,5
44,23,0,44,1,5
45,23,0,45,1,5
46,24,0,46,1,5
47,24,0,47,1,5
48,24,0,48,1,5
49,24,0,49,1,5
50,24,0,50,2,5
51,24,0,51,2,5
52,24,0,52,2,5
53,24,0,53,2,5
54,24,0,54,2,5
56,10,0,56,5,5
57,10,0,57,5,5
58,10,0,58,6,5
59,19,0,59,6,5
61,54,0,0,2,4
62,54,1,1,2,4
63,53,0,2,2,4
64,53,0,3,2,4
65,53,0,4,2,4
66,53,0,5,2,4
67,53,0,6,2,4
68,53,0,7,2,4
69,53,0,8,2,4
70,53,0,9,2,4
71,53,0,10,2,4
72,53,0,11,2,4
73,53,0,12,2,4
74,53,1,13,2,4
75,52,0,14,2,4
76,52,0,15,2,4
77,52,0,16,2,4
78,52,0,17,2,4
79,52,0,18,2,4
80,52,0,19,2,4
81,52,0,20,2,4
82,52,5,21,2,4
83,47,0,22,1,4
84,47,3,23,1,4
85,44,0,24,1,4
86,44,0,25,1,4
87,44,0,26,1,4
88,44,0,27,1,4
89,44,0,28,1,4
90,44,0,29,1,4
91,44,5,30,0,4
92,39,1,31,0,4
93,38,2,32,1,4
94,36,0,33,1,4
95,36,4,34,1,4
96,32,2,35,1,4
97,30,0,36,1,4
98,30,12,37,1,4
99,18,0,38,1,4
100,30,0,39,1,4
101,30,0,40,2,4
102,32,0,41,4,4
103,32,3,42,4,4
104,29,0,43,4,4
105,29,0,44,4,4
106,29,0,45,5,4
108,10,0,47,5,4
109,10,0,48,6,4
110,10,0,49,6,4
111,10,2,50,6,4
112,8,0,51,6,4
113,8,0,52,6,4
114,8,0,53,6,4
115,8,0,54,6,4
116,8,0,55,6,4
117,8,0,56,6,4
118,8,0,57,6,4
119,8,1,58,6,4
120,7,0,59,6,4
122,44,0,0,1,3
123,44,0,1,1,3
124,44,0,2,0,3
125,44,0,3,0,3
126,44,0,4,1,3
127,44,1,5,1,3
128,43,3,6,1,3
129,40,0,7,1,3
130,40,3,8,1,3
131,37,0,9,1,3
132,37,1,10,1,3
133,36,0,11,1,3
134,36,0,12,1,3
135,36,2,13,1,3
136,34,0,14,1,3
137,34,0,15,1,3
138,34,0,16,1,3
139,34,0,17,1,3
140,34,0,18,1,3
141,34,0,19,1,3
142,34,0,20,1,3
143,34,0,21,1,3
144,34,4,22,1,3
145,30,0,23,1,3
146,30,0,24,1,3
147,30,0,25,1,3
148,30,1,26,1,3
149,29,0,27,1,3
150,29,2,28,1,3
151,27,0,29,1,3
152,27,5,30,1,3
153,22,1,31,1,3
154,21,2,32,1,3
155,19,2,33,1,3
156,17,0,34,1,3
157,17,1,35,1,3
158,16,0,36,1,3
159,17,0,37,1,3
160,17,0,38,1,3
