,seats,difS,tdate,fareI,dd_dow
0,50,4,0,0,5
1,46,0,1,0,5
2,46,3,2,0,5
3,43,0,3,0,5
4,43,3,4,0,5
5,40,0,5,0,5
6,40,0,6,0,5
7,40,3,7,0,5
8,37,0,8,0,5
9,37,2,9,0,5
10,35,1,10,0,5
11,34,1,11,0,5
12,33,0,12,0,5
13,33,0,13,0,5
14,33,0,14,0,5
15,33,0,15,0,5
16,33,0,16,0,5
17,33,0,17,0,5
18,33,0,18,0,5
19,33,0,19,0,5
20,33,0,20,0,5
21,34,0,21,0,5
22,34,0,22,0,5
23,34,0,23,2,5
24,34,0,24,2,5
25,34,0,25,2,5
26,34,2,26,2,5
27,32,0,27,2,5
28,32,1,28,2,5
29,31,0,29,2,5
30,31,5,30,2,5
31,26,2,31,1,5
32,24,0,32,2,5
33,26,0,33,2,5
34,27,2,34,3,5
35,25,1,35,3,5
36,24,0,36,3,5
37,24,1,37,4,5
38,23,0,38,5,5
40,8,5,40,6,5
41,3,0,41,5,5
42,5,0,42,7,5
43,5,0,43,7,5
44,5,0,44,7,5
45,5,2,45,7,5
46,3,0,46,7,5
47,3,0,47,7,5
48,3,0,48,7,5
49,3,1,49,7,5
50,2,0,50,7,5
51,2,0,51,7,5
52,2,0,52,7,5
53,2,0,53,7,5
54,2,0,54,7,5
55,2,0,55,7,5
56,2,0,56,7,5
57,2,0,57,7,5
58,2,2,58,7,5
61,51,8,0,3,4
62,43,5,1,3,4
63,38,1,2,3,4
64,37,0,3,3,4
65,37,0,4,3,4
66,37,0,5,3,4
67,37,0,6,5,4
68,37,0,7,5,4
69,37,1,8,5,4
70,36,0,9,5,4
71,36,0,10,5,4
72,36,0,11,5,4
73,36,0,12,5,4
74,36,0,13,5,4
75,36,0,14,5,4
76,36,0,15,5,4
77,36,0,16,5,4
78,36,0,17,5,4
79,36,0,18,5,4
80,36,0,19,5,4
81,36,0,20,5,4
82,36,0,21,5,4
83,36,1,22,4,4
84,35,0,23,4,4
85,35,0,24,4,4
86,35,0,25,4,4
87,35,0,26,4,4
88,35,0,27,4,4
89,35,2,28,4,4
90,33,0,29,3,4
91,33,5,30,3,4
92,28,0,31,3,4
93,28,2,32,3,4
94,26,0,33,3,4
95,26,0,34,3,4
96,26,1,35,3,4
97,25,1,36,3,4
98,24,0,37,2,4
99,26,1,38,2,4
100,25,0,39,2,4
101,25,2,40,2,4
102,23,0,41,2,4
103,23,5,42,2,4
104,18,0,43,2,4
105,20,1,44,2,4
106,19,0,45,3,4
107,19,0,46,3,4
