,seats,difS,tdate,fareI,dd_dow
0,54,0,0,0,5
1,54,1,1,0,5
2,53,0,2,0,5
3,53,0,3,0,5
4,53,2,4,0,5
5,51,1,5,0,5
6,50,0,6,0,5
7,50,2,7,0,5
9,36,0,9,0,5
10,47,0,10,0,5
11,47,0,11,0,5
12,47,0,12,0,5
13,47,1,13,0,5
14,46,0,14,0,5
15,46,0,15,0,5
16,46,0,16,0,5
17,46,0,17,0,5
18,46,0,18,0,5
19,46,0,19,0,5
21,35,0,21,0,5
22,35,0,22,0,5
23,35,0,23,0,5
24,35,0,24,0,5
25,35,0,25,0,5
26,35,0,26,0,5
27,35,0,27,0,5
28,35,2,28,0,5
29,33,0,29,0,5
30,33,6,30,0,5
31,27,0,31,0,5
32,27,2,32,0,5
33,25,0,33,0,5
34,26,0,34,0,5
35,26,2,35,1,5
36,24,0,36,0,5
37,24,1,37,0,5
38,23,0,38,0,5
39,23,0,39,0,5
40,23,0,40,0,5
41,25,0,41,2,5
42,25,0,42,2,5
43,25,2,43,2,5
44,23,0,44,2,5
45,23,0,45,2,5
46,23,0,46,2,5
47,23,0,47,2,5
48,23,0,48,2,5
49,23,0,49,4,5
50,23,0,50,4,5
51,23,0,51,4,5
52,23,0,52,4,5
53,23,0,53,4,5
54,23,0,54,4,5
55,23,10,55,4,5
56,13,0,56,5,5
57,13,0,57,5,5
58,23,0,58,5,5
59,23,0,59,5,5
61,66,0,0,1,4
62,66,0,1,1,4
63,66,0,2,1,4
64,66,0,3,1,4
65,66,0,4,1,4
66,66,0,5,1,4
67,66,3,6,0,4
68,63,0,7,0,4
69,63,7,8,0,4
70,56,0,9,1,4
71,56,0,10,1,4
72,56,0,11,1,4
73,56,0,12,1,4
74,56,0,13,1,4
75,56,0,14,0,4
76,56,0,15,0,4
77,56,0,16,0,4
78,56,0,17,0,4
79,56,0,18,0,4
80,56,0,19,0,4
81,56,0,20,0,4
83,41,2,22,0,4
84,39,0,23,0,4
85,39,1,24,0,4
86,38,0,25,1,4
87,38,0,26,0,4
88,39,1,27,0,4
89,38,1,28,0,4
